"report-file-0"
"Iteration" "report-mom"
("Iteration" "report-mom")
510 0.1640475
511 0.1640652
512 0.1640772
513 0.1640943
514 0.1641078
515 0.1641251
516 0.1641373
517 0.164152
518 0.1641708
519 0.1641844
520 0.1642028
521 0.1642163
522 0.1642318
523 0.1642511
524 0.1642648
525 0.1642804
526 0.1642998
527 0.1643124
528 0.1643313
529 0.1643493
530 0.1643633
531 0.1643804
532 0.1643943
533 0.1644107
534 0.1644241
535 0.1644386
536 0.164453
537 0.1644666
538 0.164479
539 0.1644897
540 0.1645002
541 0.1645123
542 0.1645218
543 0.1645284
544 0.164533
545 0.1645377
546 0.1645434
547 0.1645479
548 0.1645512
549 0.164554
550 0.1645554
551 0.1645559
552 0.1645525
553 0.1645494
554 0.1645455
555 0.1645422
556 0.1645329
557 0.1645252
558 0.1645131
559 0.1644922
560 0.1644758
561 0.1644543
562 0.1644275
563 0.1643962
564 0.1643604
565 0.1643203
566 0.1642757
567 0.1642268
568 0.1641735
569 0.1641157
570 0.1640532
571 0.1639863
572 0.163915
573 0.1638395
574 0.1637598
575 0.1636761
576 0.1635889
577 0.1634982
578 0.1634046
579 0.1633083
580 0.1632097
581 0.1631093
582 0.1630078
583 0.1629058
584 0.162804
585 0.1627028
586 0.1626031
587 0.1625055
588 0.1624104
589 0.1623185
590 0.1622306
591 0.1621469
592 0.1620683
593 0.1619951
594 0.1619273
595 0.1618655
596 0.1618096
597 0.16176
598 0.1617165
599 0.1616792
600 0.1616479
601 0.1616225
602 0.1616057
603 0.1615899
604 0.1615792
605 0.1615733
606 0.1615723
607 0.1615761
608 0.1615837
609 0.161595
610 0.1616096
611 0.1616272
612 0.1616473
613 0.1616697
614 0.1616938
615 0.1617198
616 0.1617471
617 0.1617757
618 0.1618052
619 0.1618359
620 0.1618674
621 0.1618992
622 0.1619319
623 0.1619653
624 0.1619988
625 0.1620326
626 0.1620667
627 0.1621005
628 0.1621342
629 0.1621679
630 0.1622012
631 0.1622341
632 0.1622665
633 0.1622984
634 0.1623299
635 0.1623607
636 0.1623909
637 0.1624206
638 0.1624491
639 0.1624776
640 0.1625052
641 0.1625321
642 0.1625583
643 0.1625839
644 0.1626089
645 0.162633
646 0.1626564
647 0.1626794
648 0.1627015
649 0.162723
650 0.1627441
651 0.1627646
652 0.1627844
653 0.1628037
654 0.1628225
655 0.1628408
656 0.1628587
657 0.1628761
658 0.1628931
659 0.1629096
660 0.1629256
661 0.1629415
662 0.1629569
663 0.162972
664 0.1629867
665 0.1630011
666 0.1630152
667 0.1630289
668 0.1630424
669 0.1630559
670 0.1630688
671 0.1630815
672 0.163094
673 0.1631062
674 0.1631181
675 0.1631299
676 0.1631414
677 0.1631525
678 0.1631613
679 0.1631734
680 0.1631851
681 0.1631935
682 0.1632048
683 0.1632155
684 0.1632231
685 0.1632334
686 0.1632412
687 0.1632512
688 0.1632589
689 0.1632681
690 0.1632752
691 0.163284
692 0.1632905
693 0.1632986
694 0.1633046
695 0.1633122
696 0.1633179
697 0.163325
698 0.1633302
699 0.1633368
700 0.1633417
701 0.1633481
702 0.1633526
703 0.1633573
704 0.1633638
705 0.1633681
706 0.1633725
707 0.1633773
708 0.163382
709 0.1633869
710 0.1633916
711 0.1633962
712 0.1634007
713 0.1634051
714 0.1634094
715 0.1634138
716 0.1634179
717 0.163422
718 0.1634261
719 0.1634302
720 0.1634343
721 0.1634384
722 0.1634425
723 0.1634464
724 0.1634503
725 0.1634541
726 0.1634581
727 0.163462
728 0.1634657
729 0.1634695
730 0.1634731
731 0.1634767
732 0.1634804
733 0.1634839
734 0.1634874
735 0.1634909
736 0.1634943
737 0.1634977
738 0.1635011
739 0.1635044
740 0.1635077
741 0.1635109
742 0.163514
743 0.163517
744 0.1635201
745 0.1635231
746 0.1635261
747 0.1635289
748 0.1635317
749 0.1635346
750 0.1635374
751 0.1635401
752 0.1635428
753 0.1635454
754 0.1635481
755 0.1635506
756 0.163553
757 0.1635556
758 0.1635581
759 0.1635617
760 0.1635636
761 0.1635669
762 0.1635697
763 0.1635722
764 0.1635745
765 0.163577
766 0.1635797
767 0.163582
768 0.1635846
769 0.1635871
770 0.1635896
771 0.1635918
772 0.1635942
773 0.1635965
774 0.1635988
775 0.1636012
776 0.1636036
777 0.1636062
778 0.1636092
779 0.1636122
780 0.1636155
781 0.1636189
782 0.1636226
783 0.1636264
784 0.1636303
785 0.1636337
786 0.1636387
787 0.1636434
788 0.1636479
789 0.1636527
790 0.1636576
791 0.1636629
792 0.1636683
793 0.1636735
794 0.1636799
795 0.1636864
796 0.1636932
797 0.1637004
798 0.1637079
799 0.1637158
800 0.163724
801 0.1637323
802 0.1637412
803 0.1637502
804 0.1637596
805 0.1637693
806 0.1637801
807 0.163791
808 0.1638015
809 0.1638124
810 0.1638239
811 0.1638404
812 0.1638509
813 0.1638626
814 0.163875
815 0.1638902
816 0.1639014
817 0.1639134
818 0.1639307
819 0.1639429
820 0.1639568
821 0.1639746
822 0.1639873
823 0.1640019
824 0.1640204
825 0.1640334
826 0.1640516
827 0.1640659
828 0.1640842
829 0.164098
830 0.1641158
831 0.1641297
832 0.164149
833 0.1641632
834 0.1641828
835 0.1641973
836 0.1642171
837 0.1642315
838 0.1642511
839 0.1642654
840 0.1642849
841 0.1643016
842 0.1643168
843 0.1643348
844 0.1643507
845 0.164369
846 0.1643833
847 0.1643987
848 0.1644143
849 0.1644304
850 0.1644455
851 0.1644593
852 0.1644716
853 0.1644822
854 0.1644987
855 0.1645054
856 0.1645137
857 0.1645195
858 0.1645244
859 0.1645302
860 0.1645355
861 0.1645398
862 0.1645431
863 0.1645455
864 0.1645463
865 0.164546
866 0.1645432
867 0.1645403
