"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
510 0.2961793
511 0.296195
512 0.2962026
513 0.2962172
514 0.296228
515 0.2962414
516 0.2962454
517 0.2962589
518 0.2962754
519 0.2962848
520 0.2962989
521 0.2963078
522 0.2963185
523 0.2963338
524 0.296343
525 0.2963538
526 0.2963691
527 0.2963732
528 0.2963887
529 0.2964041
530 0.2964136
531 0.2964262
532 0.2964358
533 0.2964475
534 0.2964559
535 0.2964669
536 0.2964769
537 0.296486
538 0.2964942
539 0.2965005
540 0.2965083
541 0.2965177
542 0.2965218
543 0.2965276
544 0.2965274
545 0.2965262
546 0.2965258
547 0.2965279
548 0.2965279
549 0.2965283
550 0.296525
551 0.2965257
552 0.2965116
553 0.2964996
554 0.2964873
555 0.2964793
556 0.2964603
557 0.2964462
558 0.296428
559 0.2963944
560 0.2963704
561 0.296342
562 0.2963066
563 0.2962657
564 0.2962199
565 0.296169
566 0.2961135
567 0.2960527
568 0.2959868
569 0.2959154
570 0.2958385
571 0.2957558
572 0.2956672
573 0.2955727
574 0.2954721
575 0.2953652
576 0.2952528
577 0.2951342
578 0.2950104
579 0.2948809
580 0.2947465
581 0.2946076
582 0.2944644
583 0.2943189
584 0.2941705
585 0.2940208
586 0.2938704
587 0.2937205
588 0.2935713
589 0.293424
590 0.2932799
591 0.2931395
592 0.2930039
593 0.2928735
594 0.2927494
595 0.292632
596 0.292522
597 0.2924194
598 0.292325
599 0.2922389
600 0.2921611
601 0.2920914
602 0.2920398
603 0.2919829
604 0.2919349
605 0.2918949
606 0.2918634
607 0.2918403
608 0.2918246
609 0.2918166
610 0.2918147
611 0.2918193
612 0.2918296
613 0.2918454
614 0.2918659
615 0.2918909
616 0.29192
617 0.2919528
618 0.2919891
619 0.2920285
620 0.2920712
621 0.2921157
622 0.2921639
623 0.2922142
624 0.2922665
625 0.2923209
626 0.2923768
627 0.2924341
628 0.2924924
629 0.2925521
630 0.2926123
631 0.2926729
632 0.292734
633 0.292795
634 0.2928563
635 0.2929176
636 0.2929787
637 0.2930396
638 0.2930991
639 0.29316
640 0.2932194
641 0.2932776
642 0.2933356
643 0.2933927
644 0.2934491
645 0.2935044
646 0.2935589
647 0.2936129
648 0.2936655
649 0.2937173
650 0.2937683
651 0.2938185
652 0.2938676
653 0.2939157
654 0.2939629
655 0.2940094
656 0.2940547
657 0.2940993
658 0.294143
659 0.2941856
660 0.2942274
661 0.2942686
662 0.2943088
663 0.2943482
664 0.2943867
665 0.2944244
666 0.2944613
667 0.2944973
668 0.2945326
669 0.2945676
670 0.2946014
671 0.2946348
672 0.2946671
673 0.294699
674 0.2947301
675 0.2947605
676 0.2947903
677 0.2948192
678 0.2948425
679 0.294873
680 0.2949029
681 0.294925
682 0.2949533
683 0.2949812
684 0.2950013
685 0.2950274
686 0.2950476
687 0.2950734
688 0.2950929
689 0.2951164
690 0.2951353
691 0.2951578
692 0.2951751
693 0.2951962
694 0.2952125
695 0.2952319
696 0.2952471
697 0.2952654
698 0.2952792
699 0.2952964
700 0.2953093
701 0.2953257
702 0.2953373
703 0.2953494
704 0.2953658
705 0.2953763
706 0.2953872
707 0.2953988
708 0.2954105
709 0.2954217
710 0.295433
711 0.2954435
712 0.2954537
713 0.2954637
714 0.2954733
715 0.2954826
716 0.2954915
717 0.2955004
718 0.295509
719 0.2955173
720 0.2955254
721 0.2955335
722 0.2955413
723 0.2955489
724 0.2955563
725 0.2955634
726 0.2955704
727 0.2955775
728 0.2955841
729 0.2955906
730 0.2955969
731 0.2956032
732 0.2956091
733 0.2956151
734 0.2956207
735 0.2956263
736 0.2956319
737 0.2956375
738 0.2956426
739 0.2956475
740 0.2956524
741 0.2956572
742 0.2956617
743 0.2956662
744 0.2956706
745 0.2956748
746 0.2956789
747 0.2956828
748 0.2956866
749 0.2956903
750 0.2956939
751 0.2956974
752 0.2957008
753 0.2957039
754 0.295707
755 0.2957097
756 0.2957125
757 0.295715
758 0.2957174
759 0.2957209
760 0.2957229
761 0.295726
762 0.2957288
763 0.2957312
764 0.2957336
765 0.2957356
766 0.2957387
767 0.2957395
768 0.2957426
769 0.295744
770 0.2957458
771 0.2957473
772 0.2957506
773 0.2957526
774 0.2957538
775 0.2957549
776 0.2957559
777 0.2957572
778 0.2957588
779 0.2957604
780 0.2957623
781 0.2957645
782 0.2957671
783 0.2957698
784 0.2957724
785 0.2957756
786 0.2957768
787 0.29578
788 0.295784
789 0.295788
790 0.2957923
791 0.2957966
792 0.2958009
793 0.2958071
794 0.2958102
795 0.2958146
796 0.2958197
797 0.2958252
798 0.2958313
799 0.2958378
800 0.2958444
801 0.2958513
802 0.2958586
803 0.2958657
804 0.2958732
805 0.2958807
806 0.2958901
807 0.2958993
808 0.2959095
809 0.2959186
810 0.2959277
811 0.2959437
812 0.2959509
813 0.2959608
814 0.2959716
815 0.2959867
816 0.2959954
817 0.2960031
818 0.2960222
819 0.2960319
820 0.2960438
821 0.2960613
822 0.296071
823 0.2960832
824 0.2961014
825 0.2961112
826 0.2961281
827 0.2961408
828 0.2961566
829 0.2961676
830 0.2961822
831 0.2961924
832 0.296209
833 0.2962196
834 0.296236
835 0.296247
836 0.2962637
837 0.2962745
838 0.2962912
839 0.2963018
840 0.2963178
841 0.2963291
842 0.2963415
843 0.2963539
844 0.2963669
845 0.2963819
846 0.2963924
847 0.2964035
848 0.296415
849 0.2964289
850 0.296441
851 0.2964513
852 0.29646
853 0.2964671
854 0.2964838
855 0.2964864
856 0.2964905
857 0.2964964
858 0.2964956
859 0.2964945
860 0.2964979
861 0.2964996
862 0.2965003
863 0.2965051
864 0.2964987
865 0.2964926
866 0.2964788
867 0.2964677
868 0.2964559
869 0.2964483
870 0.2964288
871 0.2964146
872 0.2963868
873 0.2963659
874 0.2963397
875 0.2963068
876 0.2962684
877 0.2962247
878 0.2961762
879 0.296123
880 0.2960648
881 0.2960013
882 0.2959325
883 0.2958577
884 0.2957777
885 0.2956916
886 0.2955995
887 0.2955013
888 0.2953965
889 0.2952861
890 0.2951697
891 0.295047
892 0.2949193
893 0.2947857
894 0.2946478
895 0.2945052
896 0.2943595
897 0.2942111
898 0.2940605
899 0.2939086
900 0.2937568
901 0.2936057
902 0.2934561
903 0.2933089
904 0.2931651
905 0.2930258
906 0.2928916
907 0.2927638
908 0.2926421
909 0.2925275
910 0.2924206
911 0.2923218
912 0.2922313
913 0.2921492
914 0.2920755
915 0.2920203
916 0.2919595
917 0.2919075
918 0.291864
919 0.291829
920 0.2918024
921 0.291784
922 0.2917726
923 0.2917684
924 0.2917704
925 0.2917789
926 0.2917926
927 0.2918118
928 0.291835
929 0.2918627
930 0.2918941
931 0.2919294
932 0.2919681
933 0.2920101
934 0.2920541
935 0.2921013
936 0.2921513
937 0.2922035
938 0.2922579
939 0.2923137
940 0.292371
941 0.2924297
942 0.2924896
943 0.2925502
944 0.2926114
945 0.2926728
946 0.2927347
947 0.2927971
948 0.2928588
949 0.2929208
950 0.2929824
951 0.2930436
952 0.2931041
953 0.2931652
954 0.293225
955 0.293284
956 0.2933424
957 0.2933996
958 0.2934562
959 0.293512
960 0.2935671
961 0.2936209
962 0.2936741
963 0.2937264
964 0.2937776
965 0.2938278
966 0.2938773
967 0.2939257
968 0.2939735
969 0.2940201
970 0.2940656
971 0.2941104
972 0.2941545
973 0.2941975
974 0.2942397
975 0.2942808
976 0.2943211
977 0.294361
978 0.2943999
979 0.2944376
980 0.2944748
981 0.2945113
982 0.294547
983 0.2945817
984 0.2946159
985 0.2946492
986 0.2946818
987 0.2947139
988 0.2947453
989 0.294776
990 0.2948058
991 0.2948298
992 0.2948609
993 0.2948919
994 0.2949198
995 0.2949415
996 0.2949701
997 0.2949924
998 0.2950204
999 0.2950419
1000 0.2950686
1001 0.2950888
1002 0.295113
1003 0.2951367
1004 0.295154
1005 0.2951761
1006 0.2951933
1007 0.2952144
1008 0.295231
1009 0.2952508
1010 0.295266
1011 0.2952847
1012 0.2952986
1013 0.2953125
1014 0.2953311
1015 0.2953438
1016 0.2953565
1017 0.2953733
1018 0.2953845
1019 0.295396
1020 0.2954112
1021 0.2954211
1022 0.2954311
1023 0.2954419
1024 0.2954527
1025 0.2954633
1026 0.2954738
1027 0.2954837
1028 0.2954937
1029 0.2955031
1030 0.2955125
1031 0.2955213
1032 0.2955299
1033 0.2955382
1034 0.2955463
1035 0.2955543
1036 0.2955619
1037 0.2955695
1038 0.295577
1039 0.2955844
1040 0.2955913
1041 0.2955982
1042 0.2956049
1043 0.2956115
1044 0.295618
1045 0.2956242
1046 0.2956302
1047 0.2956363
1048 0.295642
1049 0.2956475
1050 0.2956531
1051 0.2956584
1052 0.2956636
1053 0.2956686
1054 0.2956736
1055 0.2956783
1056 0.295683
1057 0.2956874
1058 0.295692
1059 0.2956962
1060 0.2957
1061 0.295704
1062 0.2957079
1063 0.2957115
1064 0.295715
1065 0.2957184
1066 0.2957218
1067 0.2957249
1068 0.2957278
1069 0.2957306
1070 0.2957332
1071 0.2957357
1072 0.2957383
1073 0.2957417
1074 0.2957437
1075 0.2957467
1076 0.2957495
1077 0.2957519
1078 0.2957539
1079 0.2957559
1080 0.295759
1081 0.2957599
1082 0.2957628
1083 0.295764
1084 0.2957656
1085 0.295769
1086 0.2957708
1087 0.295772
1088 0.2957729
1089 0.295774
1090 0.2957752
1091 0.2957766
1092 0.295778
1093 0.2957799
1094 0.2957819
1095 0.2957841
1096 0.2957867
1097 0.2957892
1098 0.2957922
1099 0.2957936
1100 0.295797
1101 0.2958009
1102 0.2958048
1103 0.2958088
1104 0.2958128
1105 0.295817
1106 0.2958228
1107 0.2958254
1108 0.2958295
1109 0.2958344
1110 0.2958398
