"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
500 0.07760105
501 0.07742469
502 0.07724481
503 0.07706381
504 0.0768833
505 0.07670394
506 0.07652652
507 0.07635313
508 0.07618401
509 0.07601997
510 0.07586185
511 0.07571005
512 0.07556548
513 0.0754282
514 0.07529908
515 0.07517834
516 0.07506642
517 0.07496332
518 0.07488309
519 0.07478392
520 0.07471738
521 0.07464918
522 0.07458808
523 0.07453556
524 0.074492
525 0.07445756
526 0.07443181
527 0.07441447
528 0.07440431
529 0.07440163
530 0.07440578
531 0.07441612
532 0.0744325
533 0.07445389
534 0.07448021
535 0.0745111
536 0.0745464
537 0.07458554
538 0.07462819
539 0.07467436
540 0.07472336
541 0.07477514
542 0.07482953
543 0.07488604
544 0.07494425
545 0.07500433
546 0.07506517
547 0.07512774
548 0.07519143
549 0.0752558
550 0.07532021
551 0.07538538
552 0.07545098
553 0.07551643
554 0.07558163
555 0.07564648
556 0.07571109
557 0.07577565
558 0.07583911
559 0.07590172
560 0.07596385
561 0.07602454
562 0.07608513
563 0.0761444
564 0.07620271
565 0.07626006
566 0.07631626
567 0.07637129
568 0.07642572
569 0.07647836
570 0.07653252
571 0.07658387
572 0.0766345
573 0.07668419
574 0.07673309
575 0.07678098
576 0.07682801
577 0.07687394
578 0.07691128
579 0.07695969
580 0.07700976
581 0.0770529
582 0.07708663
583 0.0771305
584 0.07717665
585 0.07720958
586 0.07725054
587 0.07729369
588 0.07732468
589 0.07736313
590 0.0773956
591 0.07743469
592 0.07746659
593 0.07750396
594 0.07753406
595 0.07756978
596 0.07759819
597 0.07763229
598 0.07765903
599 0.07769154
600 0.07771682
601 0.07774823
602 0.07777171
603 0.07780207
604 0.07782893
605 0.07785284
606 0.07787476
607 0.07789763
608 0.07791946
609 0.07794161
610 0.07796273
611 0.07798373
612 0.07800422
613 0.07802684
614 0.07804783
615 0.07806665
616 0.07808453
617 0.07810181
618 0.07811854
619 0.07813463
620 0.07815062
621 0.07816638
622 0.07818193
623 0.07819722
624 0.07821244
625 0.07822693
626 0.07824143
627 0.07825543
628 0.07826903
629 0.07827914
630 0.07829528
631 0.07830863
632 0.07832068
633 0.07833228
634 0.07834361
635 0.07835487
636 0.07836613
637 0.07837717
638 0.07838818
639 0.07839951
640 0.07841057
641 0.07842113
642 0.07842921
643 0.07844011
644 0.07845209
645 0.07846411
646 0.07847068
647 0.07848191
648 0.07849997
649 0.07851715
650 0.07852969
651 0.07853783
652 0.07854856
653 0.07856294
654 0.07857494
655 0.07858894
656 0.07860099
657 0.07861591
658 0.07863577
659 0.07864896
660 0.0786606
661 0.07867394
662 0.07868821
663 0.07870235
664 0.07871746
665 0.07873227
666 0.07874762
667 0.07876255
668 0.07877841
669 0.07879362
670 0.07880935
671 0.07882468
672 0.07884052
673 0.07885596
674 0.07887149
675 0.07888701
676 0.07890166
677 0.07891721
678 0.07893147
679 0.07894762
680 0.07895982
681 0.07897566
682 0.07898746
683 0.07900212
684 0.07901671
685 0.0790308
686 0.07904063
687 0.07905499
688 0.07907896
689 0.07909489
690 0.07910969
691 0.07912294
692 0.07914108
693 0.07915805
694 0.07917634
695 0.07919206
696 0.07921379
697 0.07923328
698 0.07926349
699 0.07929621
700 0.07931153
701 0.07932483
702 0.07933883
703 0.07934988
704 0.07936087
705 0.07936891
706 0.07937746
707 0.07938013
708 0.07938397
709 0.07938614
710 0.07938559
711 0.07939102
712 0.07938379
713 0.07937142
714 0.07934809
715 0.0793246
716 0.07930738
717 0.07927834
718 0.07925029
719 0.07922396
720 0.0791809
721 0.07913325
722 0.07907851
723 0.07901657
724 0.07894793
725 0.07887278
726 0.07879084
727 0.07870178
728 0.0786059
729 0.07850213
730 0.07839037
731 0.07827105
732 0.07814392
733 0.07800842
734 0.07786708
735 0.07771952
736 0.07756556
737 0.07738508
738 0.07723451
739 0.07707237
740 0.07690243
741 0.07672852
742 0.07655324
743 0.07637741
744 0.07620254
745 0.07602946
746 0.07585885
747 0.07569269
748 0.07553118
749 0.07537537
750 0.07522559
751 0.07508263
752 0.07494699
753 0.07481921
754 0.07469959
755 0.07458859
756 0.07448646
757 0.07439325
758 0.07432155
759 0.07424586
760 0.07417636
761 0.07411499
762 0.07406296
763 0.07402031
764 0.07398678
765 0.0739622
766 0.07394579
767 0.0739373
768 0.07393634
769 0.07394162
770 0.07395373
771 0.07397168
772 0.07399514
773 0.07402374
774 0.07405704
775 0.07409465
776 0.07413638
777 0.0741818
778 0.07423047
779 0.07428226
780 0.07433724
781 0.07439448
782 0.07445408
783 0.07451575
784 0.07457907
785 0.07464342
786 0.07470926
787 0.07477626
788 0.07484405
789 0.07491263
790 0.07498135
791 0.07505039
792 0.07511957
793 0.07518881
794 0.07525781
795 0.07532649
796 0.07539437
797 0.07546208
798 0.07552872
799 0.07559538
800 0.07566042
801 0.07572485
802 0.07578838
803 0.07585086
804 0.075912
805 0.0759725
