"report-mom-rfile"
"Iteration" "report-mom"
("Iteration" "report-mom")
500 0.1102632
501 0.1101442
502 0.1100247
503 0.1099065
504 0.1097906
505 0.1096778
506 0.1095682
507 0.1094634
508 0.1093637
509 0.1092692
510 0.1091803
511 0.1090974
512 0.1090207
513 0.1089502
514 0.1088863
515 0.1088289
516 0.1087781
517 0.1087336
518 0.1087019
519 0.1086637
520 0.1086415
521 0.1086207
522 0.1086048
523 0.1085941
524 0.1085887
525 0.1085883
526 0.1085924
527 0.108601
528 0.1086131
529 0.1086287
530 0.1086473
531 0.1086688
532 0.1086927
533 0.1087187
534 0.1087465
535 0.108776
536 0.108807
537 0.1088392
538 0.1088724
539 0.1089067
540 0.1089415
541 0.108977
542 0.109013
543 0.1090492
544 0.1090856
545 0.1091221
546 0.109158
547 0.1091941
548 0.10923
549 0.1092656
550 0.1093004
551 0.1093351
552 0.1093691
553 0.1094026
554 0.1094352
555 0.1094671
556 0.1094984
557 0.1095293
558 0.109559
559 0.1095879
560 0.1096162
561 0.1096434
562 0.1096702
563 0.1096961
564 0.1097212
565 0.1097456
566 0.1097693
567 0.1097923
568 0.1098147
569 0.1098363
570 0.1098587
571 0.1098795
572 0.1098998
573 0.1099199
574 0.1099393
575 0.1099586
576 0.1099771
577 0.1099955
578 0.1100101
579 0.1100293
580 0.1100497
581 0.110067
582 0.1100803
583 0.1100976
584 0.1101163
585 0.1101296
586 0.1101459
587 0.1101633
588 0.1101759
589 0.1101912
590 0.1102044
591 0.1102201
592 0.1102334
593 0.1102485
594 0.110261
595 0.1102754
596 0.1102871
597 0.110301
598 0.110312
599 0.1103252
600 0.1103358
601 0.1103486
602 0.1103585
603 0.1103711
604 0.1103826
605 0.1103928
606 0.110402
607 0.1104118
608 0.1104214
609 0.1104312
610 0.1104407
611 0.1104503
612 0.1104598
613 0.1104702
614 0.1104799
615 0.1104888
616 0.1104977
617 0.1105062
618 0.1105147
619 0.1105242
620 0.1105323
621 0.1105403
622 0.1105483
623 0.1105563
624 0.1105645
625 0.1105725
626 0.1105808
627 0.110589
628 0.1105971
629 0.1106047
630 0.1106134
631 0.1106217
632 0.1106296
633 0.1106374
634 0.1106453
635 0.1106532
636 0.1106613
637 0.1106695
638 0.1106781
639 0.1106869
640 0.1106959
641 0.1107051
642 0.110714
643 0.1107236
644 0.1107339
645 0.1107443
646 0.1107541
647 0.110765
648 0.110777
649 0.1107891
650 0.1108007
651 0.1108118
652 0.1108235
653 0.1108386
654 0.1108496
655 0.110865
656 0.1108766
657 0.1108931
658 0.1109069
659 0.1109214
660 0.1109396
661 0.110953
662 0.1109714
663 0.1109856
664 0.111005
665 0.1110198
666 0.1110399
667 0.1110553
668 0.1110762
669 0.1110924
670 0.1111139
671 0.1111306
672 0.1111527
673 0.11117
674 0.1111925
675 0.1112103
676 0.1112329
677 0.1112513
678 0.1112739
679 0.1112921
680 0.1113147
681 0.1113339
682 0.1113565
683 0.1113789
684 0.1114006
685 0.1114219
686 0.1114393
687 0.1114631
688 0.1114886
689 0.1115107
690 0.1115321
691 0.1115512
692 0.111574
693 0.1115933
694 0.1116145
695 0.1116336
696 0.1116549
697 0.1116731
698 0.1116942
699 0.1117126
700 0.1117268
701 0.1117406
702 0.1117534
703 0.1117653
704 0.1117768
705 0.1117874
706 0.1117974
707 0.1118058
708 0.111813
709 0.1118186
710 0.1118224
711 0.1118269
712 0.1118258
713 0.1118214
714 0.1118119
715 0.111802
716 0.111788
717 0.1117705
718 0.1117471
719 0.111724
720 0.1116889
721 0.1116537
722 0.1116113
723 0.111562
724 0.1115069
725 0.1114463
726 0.1113802
727 0.1113086
728 0.1112319
729 0.1111495
730 0.1110615
731 0.1109685
732 0.1108705
733 0.1107682
734 0.1106618
735 0.1105519
736 0.1104389
737 0.1103083
738 0.1102022
739 0.110089
740 0.1099717
741 0.1098535
742 0.1097365
743 0.1096211
744 0.1095087
745 0.1093996
746 0.1092941
747 0.1091938
748 0.1090986
749 0.109009
750 0.1089251
751 0.1088475
752 0.108776
753 0.1087108
754 0.1086523
755 0.1086005
756 0.1085551
757 0.108516
758 0.1084888
759 0.1084614
760 0.108439
761 0.1084219
762 0.1084103
763 0.1084043
764 0.1084035
765 0.1084075
766 0.108416
767 0.1084282
768 0.1084441
769 0.1084631
770 0.108485
771 0.1085093
772 0.108536
773 0.1085647
774 0.1085951
775 0.1086271
776 0.1086603
777 0.1086947
778 0.10873
779 0.108766
780 0.108803
781 0.1088401
782 0.1088777
783 0.1089155
784 0.1089535
785 0.1089911
