"report-mom-rfile"
"Iteration" "report-mom"
("Iteration" "report-mom")
500 0.00950555
501 0.009500965
502 0.009495452
503 0.009490742
504 0.009484636
505 0.009479625
506 0.00947328
507 0.009468282
508 0.009461828
509 0.009456586
510 0.009449841
511 0.009444566
512 0.009437608
513 0.009432235
514 0.009425213
515 0.009419629
516 0.009412422
517 0.009406652
518 0.009399239
519 0.009392999
520 0.009385489
521 0.009379537
522 0.009371848
523 0.009365809
524 0.00935812
525 0.009351873
526 0.009344002
527 0.009337619
528 0.009329733
529 0.00932313
530 0.009315107
531 0.009308477
532 0.009300241
533 0.00929346
534 0.009285231
535 0.009278332
536 0.009269902
537 0.009262962
538 0.009254555
539 0.009247479
540 0.009238944
541 0.009231739
542 0.009223115
543 0.009215721
544 0.00920698
545 0.009199496
546 0.009190639
547 0.00918297
548 0.009174011
549 0.009166194
550 0.009157155
551 0.009149304
552 0.009140009
553 0.009132004
554 0.009122634
555 0.009114493
556 0.009104927
557 0.009096673
558 0.009087077
559 0.009078614
560 0.009068826
561 0.009060283
562 0.009050423
563 0.009041835
564 0.00903189
565 0.009023193
566 0.009013066
567 0.00900425
568 0.008994132
569 0.008985193
570 0.008974945
571 0.008966005
572 0.008955666
573 0.008946582
574 0.008936155
575 0.008926973
576 0.008916336
577 0.008906927
578 0.008896158
579 0.008886611
580 0.00887576
581 0.008866107
582 0.008855017
583 0.008845207
584 0.008834106
585 0.008824105
586 0.008812693
587 0.008802569
588 0.008791117
589 0.008780795
590 0.008769207
591 0.008758877
592 0.008747129
593 0.00873658
594 0.00872473
595 0.008714057
596 0.008702066
597 0.00869133
598 0.008679177
599 0.008668235
600 0.008655941
601 0.008644896
602 0.0086326
603 0.008621423
604 0.008609119
605 0.008597691
606 0.008585299
607 0.00857373
608 0.008561224
609 0.008549511
610 0.008536962
611 0.008525246
612 0.008512701
613 0.008500753
614 0.008488322
615 0.008476259
616 0.008463876
617 0.008451557
618 0.008439244
619 0.008426749
620 0.008414479
621 0.008401791
622 0.00838969
623 0.008376907
624 0.008364841
625 0.008351954
626 0.008340002
627 0.008326922
628 0.00831503
629 0.008301984
630 0.008290069
631 0.008276899
632 0.008265037
633 0.008251813
634 0.008239879
635 0.00822665
636 0.008214801
637 0.008201476
638 0.008189491
639 0.008176136
640 0.008164263
641 0.008150832
642 0.008138873
643 0.008125464
644 0.008113451
645 0.008100118
646 0.008088151
647 0.008074782
648 0.00806292
649 0.00804958
650 0.008037696
651 0.008024371
652 0.008012586
653 0.007999232
654 0.007987389
655 0.007974043
656 0.007962265
657 0.007948943
660 0.007912124
661 0.007898911
662 0.007887233
663 0.007873891
664 0.007862193
665 0.007848949
666 0.007837344
667 0.00782414
668 0.007812487
669 0.007799264
670 0.007787597
671 0.007774421
672 0.007762795
673 0.007749684
