"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
500 0.01214328
501 0.01213191
502 0.01212054
503 0.01210925
504 0.01209803
505 0.01208698
506 0.0120762
507 0.01206563
508 0.01205541
509 0.01204544
510 0.01203576
511 0.01202629
512 0.01201705
513 0.01200801
514 0.0119992
515 0.01199062
516 0.01198234
517 0.01197436
518 0.01196672
519 0.01195953
520 0.01195283
521 0.01194665
522 0.01194107
523 0.01193602
524 0.011925
525 0.01191972
526 0.01191685
527 0.01191523
528 0.01191424
529 0.01191366
530 0.01191345
531 0.01191359
532 0.01191415
533 0.01191513
534 0.01191665
535 0.01191873
536 0.01192144
537 0.0119248
538 0.01192879
539 0.01193351
540 0.01194672
541 0.01195302
542 0.01195724
543 0.01196113
544 0.01196537
545 0.01197015
546 0.01197532
547 0.01198073
548 0.01198641
549 0.01199271
550 0.01199973
551 0.0120085
552 0.01201815
553 0.01203005
554 0.01204775
555 0.01206529
556 0.01208379
557 0.01210434
558 0.01212703
559 0.01214398
560 0.01217465
561 0.01220306
562 0.01223385
563 0.01226724
564 0.0123042
565 0.01234404
566 0.01238285
567 0.01242215
568 0.01246286
569 0.01250438
570 0.01254658
571 0.01258928
572 0.01263242
573 0.01267504
574 0.01271738
575 0.01276179
576 0.01280683
577 0.01285186
578 0.01289651
579 0.01294065
580 0.01298425
581 0.01302739
582 0.01307005
583 0.0131122
584 0.01315388
585 0.01319497
586 0.01323546
587 0.01327534
588 0.01331461
589 0.0133532
590 0.01339113
591 0.01342835
592 0.01346489
593 0.01350064
594 0.01353555
595 0.01356958
596 0.01360262
597 0.0136346
598 0.01366552
599 0.01369529
600 0.01372383
601 0.01375102
602 0.01377681
603 0.01380111
604 0.01382383
605 0.01384484
606 0.01386413
607 0.01388156
608 0.01389717
609 0.0139108
610 0.01392253
611 0.0139325
612 0.0139404
613 0.01394635
614 0.01395042
615 0.01395258
616 0.01395305
617 0.01395181
618 0.0139496
619 0.0139458
620 0.01394016
621 0.01393281
622 0.01392381
623 0.01391314
624 0.01390123
625 0.01388796
626 0.01387368
627 0.01385835
628 0.01384221
629 0.0138252
630 0.01380755
631 0.01378925
632 0.01377045
633 0.01375123
634 0.01373164
635 0.01371181
636 0.01369172
637 0.01367152
638 0.01365131
639 0.01363107
640 0.01361091
641 0.01359083
642 0.01357091
643 0.01355114
644 0.01353158
645 0.01351222
646 0.01349314
647 0.01347431
648 0.01345582
649 0.0134376
650 0.01341972
651 0.01340223
652 0.01338509
653 0.01336836
654 0.01335199
655 0.01333602
656 0.0133204
657 0.01330519
658 0.01329035
659 0.01327585
660 0.01326173
661 0.01324794
662 0.01323452
663 0.01322139
664 0.01320867
665 0.01319611
666 0.01318389
667 0.01317193
668 0.01316021
669 0.0131488
670 0.01313759
671 0.01312664
672 0.01311593
673 0.01310542
674 0.01309512
675 0.01308505
676 0.01307516
677 0.01306547
678 0.01305597
679 0.01304663
680 0.01303752
681 0.01302855
682 0.01301971
683 0.01301105
684 0.01300255
685 0.01299422
686 0.01298598
687 0.01297791
688 0.01296996
689 0.01296216
690 0.01295449
691 0.01294693
692 0.01293946
693 0.01293213
694 0.01292492
695 0.01291776
696 0.0129107
697 0.01290375
698 0.01289686
699 0.01289009
700 0.01288339
701 0.01287676
702 0.01287018
703 0.0128637
704 0.01285727
705 0.01285091
706 0.01284463
707 0.01283839
708 0.01283223
709 0.0128261
710 0.01282004
711 0.012814
712 0.01280807
713 0.0128022
714 0.01279634
715 0.01279051
716 0.01278477
717 0.01277912
718 0.0127735
719 0.01276793
720 0.0127624
721 0.01275691
722 0.01275146
723 0.01274607
724 0.01274213
725 0.01273648
726 0.01273043
727 0.01272651
728 0.01272107
729 0.01271515
730 0.01271133
731 0.01270738
732 0.01270156
733 0.01269558
734 0.0126919
735 0.01268811
736 0.01268404
737 0.01267976
738 0.01267363
739 0.01266928
740 0.01266538
741 0.01266142
742 0.01265724
743 0.01265134
744 0.01264683
745 0.01264333
746 0.01263951
747 0.01263554
748 0.01262992
749 0.01262573
750 0.01262236
751 0.01261871
752 0.01261496
753 0.01261116
754 0.01260737
755 0.01260358
756 0.01259834
757 0.01259443
758 0.01259123
759 0.01258783
760 0.01258302
761 0.01257937
762 0.01257629
763 0.01257306
764 0.01256974
