"drag_report-rfile"
"Iteration" "drag_report"
("Iteration" "drag_report")
800 0.0106166
801 0.01061967
802 0.01062252
803 0.01062519
804 0.01062773
805 0.01063009
806 0.01063229
807 0.01063433
808 0.01063621
809 0.01063796
810 0.01063956
811 0.01064105
812 0.0106424
813 0.01064366
814 0.01064484
815 0.01064591
816 0.0106469
817 0.01064783
818 0.01064868
819 0.01064948
820 0.01065022
821 0.01065091
822 0.01065155
823 0.01065217
824 0.01065273
825 0.01065327
826 0.01065373
827 0.01065417
828 0.01065457
829 0.01065481
830 0.01065511
831 0.0106554
832 0.01065572
833 0.01065595
834 0.01065625
835 0.01065644
836 0.01065658
837 0.01065665
838 0.01065673
839 0.01065676
840 0.01065678
841 0.01065679
842 0.01065679
843 0.01065677
844 0.01065678
845 0.0106568
846 0.01065681
847 0.01065684
848 0.01065686
849 0.01065692
850 0.01065705
851 0.0106572
852 0.0106574
853 0.01065763
854 0.0106579
855 0.01065823
856 0.01065859
857 0.01065899
858 0.01065944
859 0.01065991
860 0.01066044
861 0.01066103
862 0.01066168
863 0.01066237
864 0.01066312
865 0.01066397
866 0.01066482
867 0.01066571
868 0.01066628
869 0.01066711
870 0.01066805
871 0.01066911
872 0.01067023
873 0.01067144
874 0.01067273
875 0.01067403
876 0.01067539
877 0.0106768
878 0.01067823
879 0.01068081
880 0.01068256
881 0.01068407
882 0.01068547
883 0.01068684
884 0.01068817
885 0.01068949
886 0.01069082
887 0.01069211
888 0.0106934
889 0.01069465
890 0.01069586
891 0.01069702
892 0.01069811
893 0.01069919
894 0.01070016
895 0.01070108
896 0.01070195
897 0.01070276
898 0.01070351
899 0.0107042
900 0.01070479
901 0.01070533
902 0.01070583
903 0.01070624
904 0.01070659
905 0.0107069
906 0.01070715
907 0.01070748
908 0.01070759
909 0.01070779
910 0.01070798
911 0.01070809
912 0.01070812
913 0.01070811
914 0.01070805
915 0.01070796
916 0.01070788
917 0.01070778
918 0.01070765
919 0.0107075
920 0.01070736
921 0.0107072
922 0.01070706
923 0.0107069
924 0.01070674
925 0.01070657
926 0.01070642
927 0.01070624
928 0.01070606
929 0.01070586
930 0.01070567
931 0.01070549
932 0.01070529
933 0.01070505
934 0.01070482
935 0.01070456
936 0.01070429
937 0.01070402
938 0.01070361
939 0.0107034
940 0.0107031
941 0.01070278
942 0.01070234
943 0.01070211
944 0.01070176
945 0.01070138
946 0.01070102
947 0.01070066
948 0.0107003
949 0.01069996
950 0.0106996
951 0.01069925
952 0.01069889
953 0.01069853
954 0.01069818
955 0.01069784
956 0.0106975
957 0.01069716
958 0.01069684
959 0.0106965
960 0.01069617
961 0.01069584
962 0.01069552
963 0.01069519
964 0.01069488
965 0.01069458
966 0.01069428
967 0.010694
968 0.01069371
969 0.01069346
970 0.0106932
971 0.01069295
972 0.0106927
973 0.01069245
974 0.01069221
975 0.01069199
976 0.01069177
977 0.01069154
978 0.01069134
979 0.01069114
980 0.01069095
981 0.01069077
982 0.01069043
983 0.01069023
984 0.01069015
985 0.01068994
986 0.01068979
987 0.01068966
988 0.01068951
989 0.01068947
990 0.01068931
991 0.01068913
992 0.01068909
993 0.01068902
994 0.0106889
995 0.01068878
996 0.01068864
997 0.01068847
998 0.0106883
999 0.01068814
1000 0.01068796
1001 0.01068778
1002 0.01068758
1003 0.01068736
1004 0.01068718
1005 0.01068694
1006 0.01068672
1007 0.01068649
1008 0.01068625
1009 0.01068596
1010 0.01068567
1011 0.01068536
1012 0.01068505
1013 0.01068468
1014 0.01068429
1015 0.01068385
1016 0.01068336
1017 0.01068286
1018 0.01068234
1019 0.01068177
1020 0.01068111
1021 0.01068046
1022 0.01067972
1023 0.01067893
1024 0.01067814
1025 0.01067731
1026 0.01067643
1027 0.01067551
1028 0.01067452
1029 0.01067348
1030 0.01067234
1031 0.01067115
1032 0.01066988
1033 0.01066857
1034 0.01066719
1035 0.01066578
1036 0.01066428
1037 0.01066269
1038 0.01066098
1039 0.01065965
1040 0.01065806
1041 0.01065632
1042 0.01065451
1043 0.01065269
1044 0.01065054
1045 0.01064848
1046 0.01064644
1047 0.01064441
1048 0.01064238
1049 0.01064026
1050 0.01063804
1051 0.01063586
1052 0.01063359
1053 0.0106314
1054 0.01062922
1055 0.01062703
1056 0.01062478
1057 0.0106225
1058 0.01062015
1059 0.01061774
1060 0.01061531
1061 0.01061281
1062 0.01061026
1063 0.01060768
1064 0.01060504
1065 0.0106023
1066 0.01059955
1067 0.01059681
1068 0.01059402
1069 0.01059121
1070 0.01058836
1071 0.01058552
1072 0.01058269
1073 0.01057985
1074 0.01057698
1075 0.01057416
1076 0.01057137
1077 0.01056862
1078 0.01056588
1079 0.01056316
1080 0.01056049
1081 0.01055783
1082 0.0105552
1083 0.01055255
1084 0.01054998
1085 0.01054759
1086 0.01054534
1087 0.01054302
1088 0.01054095
1089 0.01053907
1090 0.0105374
1091 0.01053597
1092 0.01053467
1093 0.01053354
1094 0.01053265
1095 0.01053199
1096 0.01053158
1097 0.01053171
1098 0.01053162
1099 0.01053226
1100 0.01053277
1101 0.0105338
1102 0.01053513
1103 0.0105368
1104 0.01053875
1105 0.01054103
1106 0.01054358
1107 0.01054643
1108 0.01054949
1109 0.01055287
1110 0.0105565
1111 0.01056036
1112 0.01056436
1113 0.01056827
1114 0.01057245
1115 0.01057678
1116 0.01058113
1117 0.01058549
1118 0.01058977
1119 0.01059397
1120 0.01059805
1121 0.01060203
1122 0.01060587
1123 0.01060954
1124 0.01061305
1125 0.01061639
1126 0.01061955
1127 0.01062256
1128 0.0106254
1129 0.01062805
1130 0.01063053
1131 0.01063287
1132 0.01063501
1133 0.01063701
1134 0.01063887
1135 0.01064061
1136 0.0106422
1137 0.01064366
1138 0.01064503
1139 0.01064632
1140 0.0106475
1141 0.01064861
1142 0.01064963
1143 0.01065057
1144 0.01065145
1145 0.01065229
1146 0.01065306
1147 0.01065377
1148 0.01065446
1149 0.01065505
1150 0.01065563
1151 0.01065616
1152 0.01065662
1153 0.01065707
1154 0.01065745
1155 0.01065777
1156 0.01065795
1157 0.01065816
1158 0.01065839
1159 0.01065868
1160 0.0106589
1161 0.01065905
1162 0.01065913
1163 0.0106592
1164 0.01065922
1165 0.01065922
1166 0.01065921
1167 0.01065918
1168 0.01065911
1169 0.01065908
1170 0.01065904
1171 0.010659
1172 0.01065898
1173 0.01065897
1174 0.01065896
1175 0.01065898
1176 0.01065908
1177 0.01065923
1178 0.01065941
1179 0.01065963
1180 0.01065988
1181 0.01066015
1182 0.01066049
1183 0.01066085
1184 0.01066125
1185 0.0106617
1186 0.0106622
1187 0.01066273
1188 0.01066335
1189 0.01066401
1190 0.01066471
1191 0.01066548
1192 0.0106663
1193 0.01066718
1194 0.01066765
1195 0.0106684
1196 0.01066928
1197 0.01067028
1198 0.01067134
1199 0.01067249
1200 0.01067371
1201 0.01067495
1202 0.01067625
1203 0.01067758
1204 0.01067894
1205 0.01068147
1206 0.01068314
1207 0.01068456
1208 0.01068588
1209 0.01068717
1210 0.01068844
1211 0.01068968
1212 0.01069094
1213 0.01069221
1214 0.01069344
1215 0.01069465
1216 0.01069583
1217 0.01069698
1218 0.01069807
1219 0.01069911
1220 0.0107001
1221 0.01070103
1222 0.01070189
1223 0.01070271
1224 0.01070345
1225 0.01070412
1226 0.01070472
1227 0.01070527
1228 0.01070575
1229 0.01070617
1230 0.01070653
1231 0.01070684
1232 0.01070723
1233 0.01070737
1234 0.01070765
1235 0.01070789
1236 0.01070802
1237 0.01070809
1238 0.0107081
1239 0.01070808
1240 0.01070803
1241 0.01070796
1242 0.01070786
1243 0.01070775
1244 0.01070763
1245 0.01070749
1246 0.01070735
1247 0.01070718
1248 0.01070702
1249 0.01070684
1250 0.0107067
1251 0.01070652
1252 0.01070636
1253 0.01070619
1254 0.01070602
1255 0.01070584
1256 0.01070566
1257 0.01070547
1258 0.01070528
1259 0.01070505
1260 0.01070482
1261 0.01070458
1262 0.01070432
1263 0.01070405
1264 0.01070376
1265 0.01070349
1266 0.01070317
1267 0.01070287
1268 0.01070254
1269 0.01070222
1270 0.01070186
1271 0.01070152
1272 0.01070118
1273 0.01070083
1274 0.01070048
1275 0.01070014
1276 0.01069978
1277 0.01069943
1278 0.01069909
1279 0.01069873
1280 0.01069838
1281 0.01069804
1282 0.01069769
1283 0.01069736
1284 0.01069703
1285 0.01069669
1286 0.01069636
1287 0.01069603
1288 0.0106957
1289 0.01069538
1290 0.01069505
1291 0.01069473
1292 0.01069441
1293 0.01069412
1294 0.01069384
1295 0.01069354
1296 0.01069328
1297 0.01069301
1298 0.01069274
1299 0.01069249
1300 0.01069223
1301 0.010692
1302 0.01069179
1303 0.01069155
1304 0.01069133
1305 0.01069113
1306 0.01069091
1307 0.0106907
1308 0.0106905
1309 0.01069032
1310 0.01069
1311 0.01068979
1312 0.0106897
1313 0.0106895
1314 0.01068932
1315 0.01068924
1316 0.01068916
1317 0.01068902
1318 0.01068888
1319 0.01068872
1320 0.01068856
1321 0.01068839
1322 0.01068821
1323 0.01068802
1324 0.01068783
1325 0.01068765
1326 0.01068744
1327 0.01068723
1328 0.01068701
1329 0.01068679
1330 0.01068657
1331 0.01068632
1332 0.01068607
1333 0.01068581
1334 0.01068553
1335 0.01068524
1336 0.01068491
1337 0.01068457
1338 0.0106842
1339 0.01068382
1340 0.01068339
1341 0.01068288
1342 0.01068238
1343 0.01068184
1344 0.01068128
1345 0.01068069
1346 0.01067997
1347 0.01067924
1348 0.01067846
1349 0.0106777
1350 0.01067688
1351 0.01067603
1352 0.01067511
1353 0.01067411
1354 0.01067307
1355 0.01067196
1356 0.01067078
1357 0.01066953
1358 0.01066823
1359 0.01066686
1360 0.01066545
1361 0.01066395
1362 0.01066238
1363 0.01066065
1364 0.01065936
1365 0.01065778
1366 0.01065604
1367 0.01065423
1368 0.01065242
1369 0.01065029
1370 0.01064823
1371 0.01064619
1372 0.01064416
1373 0.01064214
1374 0.01064001
1375 0.01063779
1376 0.01063561
1377 0.01063335
1378 0.01063116
1379 0.01062898
1380 0.01062678
1381 0.01062453
1382 0.01062223
1383 0.01061989
1384 0.01061749
1385 0.01061502
1386 0.0106125
1387 0.01060994
1388 0.0106073
1389 0.0106046
1390 0.01060187
1391 0.0105991
1392 0.01059636
