"mom_report-rfile"
"Iteration" "mom_report"
("Iteration" "mom_report")
800 0.08916963
801 0.08915756
802 0.0891454
803 0.08913318
804 0.08912113
805 0.08910924
806 0.08909737
807 0.08908587
808 0.0890747
809 0.08906383
810 0.0890534
811 0.08904347
812 0.08903399
813 0.08902513
814 0.08901655
815 0.08900885
816 0.08900208
817 0.08899606
818 0.08899069
819 0.08898611
820 0.08898234
821 0.08897918
822 0.08897664
823 0.08897487
824 0.08897378
825 0.08897312
826 0.08897325
827 0.08897395
828 0.08897527
829 0.08897727
830 0.08897955
831 0.08898216
832 0.08898543
833 0.08898884
834 0.08899232
835 0.08899619
836 0.08900026
837 0.08900464
838 0.0890092
839 0.08901387
840 0.08901857
841 0.08902335
842 0.08902815
843 0.08903296
844 0.0890378
845 0.08904252
846 0.08904719
847 0.08905181
848 0.08905584
849 0.0890602
850 0.08906448
851 0.08906867
852 0.08907269
853 0.08907662
854 0.0890803
855 0.08908378
856 0.08908717
857 0.08909042
858 0.08909339
859 0.08909608
860 0.08909839
861 0.08910049
862 0.08910234
863 0.08910386
864 0.08910512
865 0.08910608
866 0.08910677
867 0.08910716
868 0.08910757
869 0.08910758
870 0.08910723
871 0.08910663
872 0.08910577
873 0.08910476
874 0.08910345
875 0.08910187
876 0.08910018
877 0.0890982
878 0.08909608
879 0.08909272
880 0.08909025
881 0.08908769
882 0.089085
883 0.08908216
884 0.08907904
885 0.08907577
886 0.08907228
887 0.08906876
888 0.089065
889 0.08906113
890 0.08905728
891 0.08905323
892 0.08904909
893 0.08904497
894 0.08904078
895 0.08903653
896 0.0890323
897 0.08902808
898 0.08902399
899 0.08901984
900 0.0890158
901 0.08901189
902 0.08900806
903 0.08900437
904 0.0890007
905 0.08899738
906 0.08899417
907 0.08899169
908 0.08898856
909 0.08898609
910 0.08898399
911 0.0889819
912 0.08897994
913 0.08897819
914 0.08897674
915 0.08897556
916 0.08897471
917 0.08897411
918 0.08897377
919 0.08897373
920 0.08897397
921 0.08897443
922 0.08897518
923 0.08897616
924 0.08897728
925 0.0889788
926 0.08898037
927 0.08898214
928 0.08898409
929 0.08898617
930 0.08898836
931 0.08899079
932 0.08899315
933 0.0889956
934 0.08899815
935 0.08900072
936 0.08900332
937 0.08900589
938 0.08900967
939 0.08901162
940 0.08901365
941 0.08901594
942 0.08901951
943 0.08902117
944 0.08902306
945 0.0890252
946 0.08902735
947 0.08902953
948 0.08903168
949 0.08903375
950 0.08903573
951 0.08903761
952 0.08903945
953 0.08904112
954 0.08904275
955 0.08904431
956 0.08904579
957 0.08904719
958 0.08904849
959 0.08904972
960 0.08905093
961 0.08905198
962 0.08905298
963 0.08905397
964 0.08905488
965 0.08905571
966 0.08905652
967 0.0890572
968 0.08905791
969 0.08905846
970 0.08905906
971 0.08905954
972 0.08906001
973 0.08906049
974 0.08906085
975 0.08906125
976 0.08906157
977 0.08906192
978 0.08906221
979 0.0890625
980 0.08906279
981 0.08906312
982 0.08906367
983 0.08906389
984 0.08906399
985 0.08906435
986 0.08906451
987 0.08906484
988 0.08906504
989 0.08906518
990 0.08906569
991 0.08906605
992 0.08906628
993 0.08906667
994 0.08906706
995 0.08906757
996 0.08906809
997 0.08906864
998 0.08906922
999 0.08906987
1000 0.08907048
1001 0.08907115
1002 0.0890718
1003 0.08907254
1004 0.08907324
1005 0.089074
1006 0.08907478
1007 0.08907563
1008 0.08907654
1009 0.08907739
1010 0.08907833
1011 0.0890793
1012 0.08908034
1013 0.08908132
1014 0.0890824
1015 0.0890835
1016 0.08908479
1017 0.08908607
1018 0.08908731
1019 0.08908858
1020 0.08909044
1021 0.08909152
1022 0.08909313
1023 0.08909456
1024 0.08909589
1025 0.08909722
1026 0.0890985
1027 0.08909985
1028 0.08910131
1029 0.08910292
1030 0.08910454
1031 0.08910625
1032 0.08910798
1033 0.08910983
1034 0.0891117
1035 0.0891137
1036 0.08911571
1037 0.08911777
1038 0.0891202
1039 0.08912194
1040 0.08912419
1041 0.08912663
1042 0.08912924
1043 0.0891319
1044 0.08913513
1045 0.08913819
1046 0.08914126
1047 0.0891444
1048 0.08914765
1049 0.08915111
1050 0.08915468
1051 0.08915833
1052 0.08916229
1053 0.08916616
1054 0.08916999
1055 0.08917388
1056 0.08917788
1057 0.08918194
1058 0.08918615
1059 0.08919047
1060 0.08919498
1061 0.08919949
1062 0.08920417
1063 0.0892089
1064 0.0892138
1065 0.08921867
1066 0.08922365
1067 0.08922855
1068 0.08923356
1069 0.08923862
1070 0.08924373
1071 0.08924893
1072 0.08925415
1073 0.08925929
1074 0.08926456
1075 0.08926973
1076 0.08927479
1077 0.08927979
1078 0.08928471
1079 0.08928965
1080 0.08929451
1081 0.08929928
1082 0.08930399
1083 0.08930901
1084 0.08931342
1085 0.08931756
1086 0.08932155
1087 0.08932483
1088 0.08932836
1089 0.08933179
1090 0.08933493
1091 0.0893377
1092 0.08934031
1093 0.0893427
1094 0.08934464
1095 0.08934616
1096 0.08934729
1097 0.08934788
1098 0.08934859
1099 0.08934818
1100 0.08934824
1101 0.08934719
1102 0.08934577
1103 0.08934393
1104 0.08934153
1105 0.08933863
1106 0.08933511
1107 0.08933099
1108 0.08932648
1109 0.08932125
1110 0.08931525
1111 0.08930851
1112 0.08930124
1113 0.08929361
1114 0.08928517
1115 0.08927589
1116 0.08926597
1117 0.0892557
1118 0.08924484
1119 0.08923361
1120 0.08922186
1121 0.08920989
1122 0.08919755
1123 0.08918495
1124 0.08917227
1125 0.08915935
1126 0.08914634
1127 0.08913331
1128 0.08912042
1129 0.08910754
1130 0.08909494
1131 0.08908264
1132 0.08907048
1133 0.08905875
1134 0.08904756
1135 0.0890368
1136 0.08902662
1137 0.08901703
1138 0.08900807
1139 0.08899945
1140 0.0889919
1141 0.08898522
1142 0.08897936
1143 0.08897426
1144 0.08896999
1145 0.08896646
1146 0.08896364
1147 0.08896152
1148 0.08896009
1149 0.08895931
1150 0.08895911
1151 0.08895968
1152 0.08896071
1153 0.08896247
1154 0.08896463
1155 0.08896724
1156 0.08897049
1157 0.08897397
1158 0.0889776
1159 0.08898142
1160 0.0889859
1161 0.08899046
1162 0.08899513
1163 0.08899991
1164 0.08900478
1165 0.08900979
1166 0.08901475
1167 0.08901983
1168 0.08902485
1169 0.08902983
1170 0.08903477
1171 0.08903967
1172 0.08904443
1173 0.08904918
1174 0.0890533
1175 0.08905762
1176 0.08906195
1177 0.0890662
1178 0.08907025
1179 0.08907415
1180 0.08907789
1181 0.08908137
1182 0.08908483
1183 0.08908788
1184 0.08909076
1185 0.08909335
1186 0.08909567
1187 0.08909766
1188 0.0890994
1189 0.08910077
1190 0.08910193
1191 0.08910276
1192 0.08910337
1193 0.08910371
1194 0.08910401
1195 0.08910387
1196 0.08910343
1197 0.08910275
1198 0.08910178
1199 0.08910059
1200 0.08909919
1201 0.08909758
1202 0.08909573
1203 0.08909376
1204 0.08909158
1205 0.08908816
1206 0.08908553
1207 0.08908299
1208 0.0890802
1209 0.0890773
1210 0.08907425
1211 0.08907104
1212 0.0890676
1213 0.08906408
1214 0.08906043
