"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
500 0.03162605
501 0.03160838
502 0.03159074
503 0.0315732
504 0.03155579
505 0.03153853
506 0.03152135
507 0.03150447
508 0.03148766
509 0.03147094
510 0.03145446
511 0.03143805
512 0.03142167
513 0.03140555
514 0.0313894
515 0.03137331
516 0.03135722
517 0.03134124
518 0.03132519
519 0.03130916
520 0.03129304
521 0.03127698
522 0.03126087
523 0.0312449
524 0.03122869
525 0.03121243
526 0.03119614
527 0.03117985
528 0.03116346
529 0.03114715
530 0.03113077
531 0.03111445
532 0.0310982
533 0.03108192
534 0.03106564
535 0.03104943
536 0.03103334
537 0.03101737
538 0.03100141
539 0.03098559
540 0.0309697
541 0.03095397
542 0.03093832
543 0.03092277
544 0.03090721
545 0.03089181
546 0.03087639
547 0.03086104
548 0.03084574
549 0.0308305
550 0.03081532
551 0.03080019
552 0.03078517
553 0.03077025
554 0.03075538
555 0.03074053
556 0.03072582
557 0.03071112
558 0.03069647
559 0.0306819
560 0.03066738
561 0.03065287
562 0.03063839
563 0.03062391
564 0.03060952
565 0.03059505
566 0.03058067
567 0.03056635
568 0.03055199
569 0.03053773
570 0.03052339
571 0.03050916
572 0.03049489
573 0.03048073
574 0.03046661
575 0.03045251
576 0.03043829
577 0.03042414
578 0.03041005
579 0.03039598
580 0.03038209
581 0.03036826
582 0.03035447
583 0.03034076
584 0.03032717
585 0.03031354
586 0.03029988
587 0.03028641
588 0.03027305
589 0.03025967
590 0.03024642
591 0.0302332
592 0.03021999
593 0.03020696
594 0.03019396
595 0.03018107
596 0.03016829
597 0.03015553
598 0.03014214
599 0.0301294
600 0.03011673
601 0.03010424
602 0.0300918
603 0.03007942
604 0.03006716
605 0.030055
606 0.03004288
607 0.03003078
608 0.03001868
609 0.03000667
610 0.02999457
611 0.02998246
612 0.02997045
613 0.02995843
614 0.02994632
615 0.02993425
616 0.0299222
617 0.02991019
618 0.02989802
619 0.02988594
620 0.02987385
621 0.02986166
622 0.02985051
623 0.02983876
624 0.02982684
625 0.02981495
626 0.02980308
627 0.02979129
628 0.02977954
629 0.02976773
630 0.02975594
631 0.02974428
632 0.02973252
633 0.0297209
634 0.02970926
635 0.02969773
636 0.02968625
637 0.02967486
638 0.02966349
639 0.0296522
640 0.02964089
641 0.02962965
642 0.02961841
643 0.02960731
644 0.02959609
645 0.029585
646 0.02957396
647 0.02956289
648 0.02955189
649 0.02954096
650 0.02952981
651 0.02951894
652 0.02950801
653 0.02949724
654 0.02948635
655 0.02947552
656 0.0294647
657 0.02945391
658 0.02944315
659 0.02943245
660 0.02942171
661 0.02941103
662 0.02940031
663 0.02938971
664 0.02937906
665 0.0293685
666 0.02935801
667 0.02934762
668 0.02933726
669 0.02932688
670 0.02931657
671 0.02930634
672 0.02929618
673 0.02928595
674 0.02927585
675 0.02926568
676 0.02925565
677 0.02924554
678 0.02923552
679 0.02922549
680 0.02921556
681 0.02920556
682 0.02919554
683 0.02918572
684 0.02917578
685 0.02916595
686 0.02915615
687 0.02914634
688 0.02913665
689 0.02912694
690 0.02911708
691 0.02910733
692 0.02909748
693 0.02908756
694 0.02907772
695 0.02906789
696 0.02905791
697 0.02904802
698 0.02903824
699 0.02902837
700 0.02901852
701 0.02900873
702 0.02899885
703 0.02898904
704 0.02897915
705 0.02896932
706 0.02895946
707 0.02894967
708 0.02893983
709 0.02892994
710 0.02892018
711 0.0289104
712 0.02890055
713 0.02889085
714 0.02888107
715 0.02887133
716 0.02886157
717 0.02885185
718 0.02884211
719 0.02883244
720 0.02882272
721 0.02881313
722 0.02880343
723 0.02879396
724 0.02878442
725 0.02877481
726 0.02876675
727 0.02875737
728 0.02874774
729 0.02873801
730 0.02872838
731 0.02871881
732 0.0287093
733 0.02869987
734 0.02869043
735 0.02868114
736 0.02867179
737 0.02866249
738 0.02865318
739 0.02864249
740 0.02863311
741 0.02862407
742 0.02861513
743 0.02860631
744 0.02859762
745 0.02858886
746 0.02858016
747 0.02857148
748 0.02856272
749 0.02855399
750 0.02854653
751 0.02853766
752 0.02852826
753 0.02851886
754 0.0285093
755 0.02849992
756 0.02849042
757 0.02848106
758 0.02847175
759 0.02846244
760 0.0284532
761 0.02844404
762 0.02843492
763 0.02842583
764 0.02841672
765 0.02840767
766 0.02839865
767 0.02838961
768 0.02838057
769 0.02837163
770 0.0283627
771 0.02835377
772 0.02834487
773 0.02833594
774 0.028327
775 0.02831817
776 0.02830924
777 0.02830048
778 0.02829164
779 0.0282829
780 0.02827411
781 0.0282654
782 0.02825664
783 0.02824803
784 0.02823932
785 0.0282307
786 0.02822202
787 0.02821358
788 0.02820491
789 0.0281963
790 0.02818768
791 0.02817916
792 0.02817058
793 0.02816455
794 0.02815592
795 0.02814714
796 0.02813817
797 0.0281295
798 0.02812082
799 0.02811226
800 0.02810378
801 0.02809553
802 0.02808713
803 0.02807887
804 0.02807056
805 0.02806241
806 0.02805418
807 0.02804607
808 0.02803794
809 0.02802988
810 0.02802175
811 0.0280138
812 0.02800578
813 0.02799795
814 0.02799005
815 0.02798238
816 0.02797467
817 0.02796712
818 0.02795953
819 0.02795209
820 0.0279447
821 0.02793603
822 0.02792866
823 0.02792162
824 0.02791459
825 0.02790759
826 0.02790053
827 0.02789351
828 0.0278864
829 0.02787948
830 0.02787228
831 0.02786527
832 0.02785819
833 0.02785123
834 0.0278442
835 0.02783726
836 0.02783025
837 0.02782332
838 0.02781638
839 0.02780955
840 0.02780257
841 0.02779575
842 0.02778888
843 0.02778224
844 0.02777552
845 0.02776885
846 0.02776215
847 0.02775549
848 0.02774851
849 0.02774205
850 0.02773549
851 0.02772908
852 0.02772272
853 0.0277163
854 0.02770999
855 0.02770467
856 0.02769834
857 0.02769241
858 0.02768565
859 0.02767904
860 0.02767287
861 0.02766618
862 0.02765964
863 0.02765365
864 0.02764701
865 0.02764124
866 0.02763468
867 0.02762873
868 0.02762256
869 0.02761705
873 0.02759356
874 0.02758759
875 0.02758209
876 0.02757598
877 0.02757001
878 0.02756486
879 0.02755894
880 0.02755345
881 0.02754739
882 0.02754151
883 0.02753644
884 0.02753049
885 0.02752515
886 0.02751912
887 0.0275133
888 0.0275082
889 0.02750247
890 0.02749702
891 0.02749114
892 0.02748608
893 0.02748068
894 0.02747483
895 0.02746973
896 0.02746432
897 0.02745919
898 0.02745373
899 0.02744864
900 0.02744317
901 0.02743795
902 0.02743242
903 0.02742718
904 0.0274216
905 0.02741633
906 0.02741082
907 0.02740551
908 0.0274001
909 0.02739337
910 0.02738769
911 0.0273831
912 0.02737795
913 0.02737355
914 0.02736834
915 0.0273637
916 0.02735841
917 0.02735377
918 0.0273484
919 0.02734375
920 0.0273384
921 0.02733373
922 0.02732834
923 0.02732359
924 0.02731786
925 0.02731301
926 0.02730783
927 0.02730304
928 0.02729778
929 0.02729292
930 0.02728773
931 0.02728291
932 0.02727768
933 0.02727278
934 0.02726752
935 0.02726266
936 0.02725748
937 0.02725255
938 0.02724732
939 0.02724244
940 0.02723722
941 0.02723237
942 0.0272272
943 0.02722238
944 0.02721724
945 0.02721249
946 0.02720739
947 0.02720266
948 0.0271976
949 0.0271928
950 0.02718784
951 0.02718312
952 0.02717809
953 0.02717349
954 0.02716855
955 0.02716396
956 0.02715907
957 0.02715452
958 0.02714969
959 0.02714519
960 0.02714035
961 0.02713586
962 0.02713121
963 0.02712679
964 0.0271221
965 0.02711783
966 0.02711319
967 0.02710885
968 0.02710423
969 0.02710001
970 0.02709514
971 0.027091
972 0.02708632
973 0.0270823
974 0.02707775
975 0.02707378
976 0.0270692
977 0.02706521
978 0.02706068
979 0.02705678
980 0.0270523
981 0.02704826
982 0.02704386
983 0.02703998
984 0.02703555
985 0.02703167
986 0.02702727
987 0.02702341
988 0.02701905
989 0.02701523
990 0.02701086
991 0.02700712
992 0.02700288
993 0.02699917
994 0.02699489
995 0.02699119
996 0.02698698
997 0.02698332
998 0.02697918
999 0.02697559
1000 0.02697138
1001 0.02696785
1002 0.02696378
1003 0.02696025
1004 0.02695619
1005 0.02695273
1006 0.02694871
1007 0.02694522
1008 0.02694129
1009 0.02693781
1010 0.02693386
1011 0.0269304
1012 0.02692655
1013 0.02692303
1014 0.02691918
1015 0.02691576
1016 0.02691194
1017 0.02690849
1018 0.02690478
1019 0.02690141
1020 0.02689761
1021 0.02689423
1022 0.02689054
1023 0.02688723
1024 0.02688351
1025 0.02688018
1026 0.02687653
1027 0.02687382
1028 0.02687025
1029 0.02686694
1030 0.02686335
1031 0.02686002
1032 0.02685643
1033 0.02685319
1034 0.02684958
1035 0.02684633
1036 0.02684288
1037 0.02683968
1038 0.02683616
1039 0.02683304
1040 0.0268295
1041 0.02682643
1042 0.02682291
1043 0.02681986
1044 0.02681627
1045 0.02681335
1046 0.02680974
1047 0.02680682
1048 0.02680328
1049 0.02680032
1050 0.02679683
1051 0.02679382
1052 0.02679038
1053 0.02678741
1054 0.02678393
1055 0.02678108
1056 0.02677765
1057 0.02677475
1058 0.02677139
1059 0.02676854
1060 0.02676522
1061 0.02676235
1062 0.02675912
1063 0.02675631
1064 0.02675303
1065 0.02675026
1066 0.026747
1067 0.02674432
1068 0.02674106
1069 0.02673839
1070 0.02673515
1071 0.02673256
1072 0.02672932
1073 0.02672672
1074 0.02672358
1075 0.02672091
1076 0.0267178
1077 0.02671516
1078 0.02671204
1079 0.02670945
1080 0.02670636
1081 0.02670385
1082 0.02670075
1083 0.02669831
1084 0.02669526
1085 0.02669285
1086 0.02668982
1087 0.02668742
1088 0.02668445
1089 0.02668205
1090 0.0266791
1091 0.02667673
1092 0.02667388
1093 0.0266715
1094 0.02666865
1095 0.02666629
1096 0.0266635
1097 0.02666128
1098 0.0266584
1099 0.02665607
1100 0.02665331
1101 0.02665097
1102 0.02664823
1103 0.02664598
1104 0.0266432
1105 0.02664097
1106 0.02663825
1107 0.02663596
1108 0.02663328
1109 0.02663091
1110 0.02662825
1111 0.02662598
1112 0.02662335
1113 0.02662105
1114 0.02661843
1115 0.02661625
1116 0.02661362
1117 0.02661145
1118 0.02660882
1119 0.02660668
1120 0.02660405
1121 0.02660197
1122 0.02659935
1123 0.0265973
1124 0.02659465
1125 0.0265926
1126 0.02659004
1127 0.02658799
1128 0.02658544
1129 0.0265835
1130 0.02658101
1131 0.02657912
1132 0.02657656
1133 0.02657466
1134 0.02657211
1135 0.02657034
1136 0.0265678
1137 0.02656601
1138 0.0265635
1139 0.02656173
1140 0.02655929
1141 0.0265575
1142 0.02655499
1143 0.02655327
1144 0.0265509
1145 0.02654905
1146 0.02654675
1147 0.02654489
1148 0.02654261
1149 0.02654073
1150 0.02653855
1151 0.0265367
1152 0.02653448
1153 0.0265327
1154 0.0265309
1155 0.02652987
1156 0.02652803
1157 0.02652644
1158 0.02652472
1159 0.02652269
1160 0.02652108
1161 0.02651896
1162 0.02651741
1163 0.02651529
1164 0.02651381
1165 0.02651164
1166 0.02651021
1167 0.02650804
1168 0.02650659
1169 0.02650453
1170 0.02650313
1171 0.02650101
1172 0.02649958
1173 0.02649745
1174 0.02649605
1175 0.02649399
1176 0.02649261
1177 0.02649062
1178 0.02648924
1179 0.02648628
1180 0.02648586
1181 0.02648297
1182 0.02648252
1183 0.0264795
1184 0.02647908
1185 0.02647611
1186 0.02647563
1187 0.02647265
1188 0.02647222
1189 0.02646923
1190 0.02646882
1191 0.02646586
1192 0.02646543
1193 0.02646246
1194 0.02646198
1195 0.02645914
1196 0.02645873
1197 0.02645582
1198 0.02645543
1199 0.02645249
1200 0.02645208
1201 0.02644922
1202 0.02644889
1203 0.02644599
1204 0.02644564
1205 0.02644281
1206 0.02644239
1207 0.02643962
1208 0.02643915
1209 0.02643639
1210 0.02643603
1211 0.02643332
1212 0.02643294
1213 0.02643016
1214 0.02642981
1215 0.02642711
1216 0.02642674
1217 0.02642415
1218 0.02642372
1219 0.02642109
1220 0.02642076
1221 0.02641817
1222 0.02641778
1223 0.02641524
1224 0.02641493
1225 0.02641236
1226 0.02641203
1227 0.02640953
1228 0.02640916
1229 0.0264067
1230 0.02640636
1231 0.02640388
1232 0.02640356
1233 0.02640142
1234 0.02640099
1235 0.02639857
1236 0.02639817
1237 0.02639573
1238 0.02639529
1239 0.02639288
1240 0.02639246
1241 0.02639008
1242 0.02638965
1243 0.02638739
1244 0.02638699
1245 0.02638609
1246 0.02638448
1247 0.026384
1248 0.02638289
1249 0.02638065
1250 0.02638025
1251 0.02637921
1252 0.02637702
1253 0.02637654
1254 0.02637541
1255 0.02637309
1256 0.02637266
1257 0.02637161
1258 0.02636955
1259 0.02636905
1260 0.02636798
1261 0.02636578
1262 0.02636541
1263 0.02636444
1264 0.02636246
1265 0.02636199
1266 0.02636095
1267 0.02635871
1268 0.02635831
1269 0.02635735
1270 0.02635538
1271 0.02635496
1272 0.0263539
1273 0.02635162
1274 0.02635119
1275 0.0263503
1276 0.02634831
1277 0.02634792
1278 0.02634694
1279 0.02634474
1280 0.02634436
1281 0.0263435
1282 0.0263415
1283 0.02634108
1284 0.02634014
1285 0.02633793
1286 0.0263375
1287 0.02633671
1288 0.02633479
1289 0.0263344
1290 0.0263334
1291 0.02633125
1292 0.02633085
1293 0.02633008
1294 0.02632915
1295 0.02632756
1296 0.02632716
1297 0.02632629
1298 0.02632531
1299 0.02632345
1300 0.02632307
1301 0.02632217
1302 0.02632111
1303 0.02631921
1304 0.02631886
1305 0.02631805
1306 0.02631701
1307 0.02631517
1308 0.02631483
1309 0.02631401
1310 0.02631308
1311 0.02631127
1312 0.02631089
1313 0.02631015
1314 0.02630916
1315 0.02630739
1316 0.02630709
1317 0.02630633
1318 0.02630542
1319 0.0263037
1320 0.0263034
1321 0.02630262
1322 0.02630168
1323 0.02629996
1324 0.02629962
1325 0.02629893
1326 0.02629802
1327 0.02629648
1328 0.02629624
1329 0.02629536
1330 0.02629476
1331 0.02629248
1332 0.02629232
1333 0.02629146
1334 0.02629093
1335 0.0262888
1336 0.02628858
1337 0.02628781
1338 0.02628727
1339 0.02628623
1340 0.02628507
1341 0.02628454
1342 0.02628407
1343 0.02628289
1344 0.02628243
1345 0.02628038
1346 0.02628029
1347 0.02627947
1348 0.02627892
1349 0.02627789
1350 0.02627756
1351 0.02627594
1352 0.02627575
1353 0.02627492
1354 0.0262742
1355 0.02627319
1356 0.02627273
1357 0.026271
1358 0.02627085
1359 0.02627005
1360 0.02626941
1361 0.02626841
1362 0.02626802
1363 0.02626636
1364 0.02626625
1365 0.02626546
1366 0.02626485
1367 0.02626387
1368 0.02626352
1369 0.02626278
1370 0.02626261
1371 0.02626132
1372 0.02626118
1373 0.0262604
1374 0.02625967
1375 0.02625856
1376 0.026258
1377 0.02625716
1378 0.02625681
1379 0.02625617
1380 0.02625596
1381 0.02625523
1382 0.02625501
1383 0.02625424
1384 0.02625397
1385 0.02625314
1386 0.02625279
1387 0.02625189
1388 0.02625153
1389 0.02625061
1390 0.02625021
1391 0.02624926
1392 0.02624887
1393 0.02624797
1394 0.02624749
1395 0.02624663
1396 0.0262462
1397 0.02624536
1398 0.02624493
1399 0.02624406
1400 0.02624366
1401 0.02624283
1402 0.02624243
1403 0.02624168
1404 0.02624123
1405 0.02624036
1406 0.02624002
1407 0.0262392
1408 0.02623882
1409 0.02623799
1410 0.0262376
1411 0.02623676
1412 0.02623639
1413 0.02623553
1414 0.02623517
1415 0.02623426
1416 0.02623392
1417 0.02623303
1418 0.0262327
1419 0.0262319
1420 0.02623144
1421 0.02623064
1422 0.0262302
1423 0.02622938
1424 0.02622896
1425 0.02622815
1426 0.02622776
1427 0.02622694
1428 0.02622655
1429 0.02622575
1430 0.02622537
1431 0.0262246
1432 0.02622424
1433 0.02622341
1434 0.02622305
1435 0.02622231
1436 0.02622194
1437 0.02622118
1438 0.02622087
1439 0.02622009
1440 0.02621984
1441 0.02621907
1442 0.02621878
1443 0.02621802
1444 0.02621763
1445 0.02621694
1446 0.02621663
1447 0.02621591
1448 0.02621558
1449 0.02621496
1450 0.02621466
1451 0.0262139
1452 0.02621364
1453 0.02621291
1454 0.02621263
1455 0.02621199
1456 0.02621172
1457 0.026211
1458 0.02621068
1459 0.02621002
1460 0.02620976
1461 0.02620907
1462 0.02620876
1463 0.02620806
1464 0.02620783
1465 0.02620714
1466 0.02620685
1467 0.02620619
1468 0.0262059
1469 0.02620525
1470 0.02620501
1471 0.02620434
1472 0.02620401
1473 0.0262034
1474 0.02620311
1475 0.02620248
1476 0.02620223
1477 0.0262016
1478 0.02620139
1479 0.02620075
1480 0.02620047
1481 0.02619989
1482 0.02619963
1483 0.02619907
1484 0.02619882
1485 0.0261982
1486 0.02619794
1487 0.02619735
1488 0.0261971
1489 0.02619647
1490 0.02619625
1491 0.0261957
1492 0.02619542
1493 0.0261948
1494 0.0261946
1495 0.02619401
1496 0.02619373
1497 0.02619319
1498 0.02619299
1499 0.02619239
1500 0.02619212
1501 0.02619156
1502 0.02619132
1503 0.02619081
1504 0.02619056
1505 0.02618999
1506 0.02618974
1507 0.02618924
1508 0.02618899
1509 0.02618847
1510 0.02618825
1511 0.0261877
1512 0.02618747
1513 0.02618693
1514 0.0261867
1515 0.02618616
1516 0.02618598
1517 0.02618544
1518 0.02618521
1519 0.02618475
1520 0.0261845
1521 0.02618404
1522 0.02618381
1523 0.02618332
1524 0.02618314
1525 0.02618263
1526 0.02618239
1527 0.02618195
1528 0.02618176
1529 0.02618121
1530 0.02618104
1531 0.02618057
1532 0.02618037
1533 0.02617987
1534 0.02617967
1535 0.02617921
1536 0.02617897
1537 0.02617854
1538 0.02617831
1539 0.02617784
1540 0.0261776
1541 0.02617718
1542 0.026177
1543 0.02617653
1544 0.02617634
1545 0.02617588
1546 0.02617569
1547 0.02617526
1548 0.02617508
1549 0.0261746
1550 0.0261744
1551 0.02617403
1552 0.02617382
1553 0.02617344
1554 0.02617327
1555 0.02617281
1556 0.02617265
1557 0.02617223
1558 0.02617211
1559 0.0261717
1560 0.02617153
1561 0.02617113
1562 0.02617094
1563 0.02617049
1564 0.02617032
1565 0.02616987
1566 0.02616966
1567 0.02616925
1568 0.02616909
1569 0.02616867
1570 0.02616853
1571 0.02616809
1572 0.02616789
1573 0.02616753
1574 0.02616731
1575 0.02616699
1576 0.02616674
1577 0.02616637
1578 0.02616621
1579 0.02616591
1580 0.02616568
1581 0.02616536
1582 0.0261652
1583 0.02616477
1584 0.02616464
1585 0.02616422
1586 0.02616411
1587 0.0261637
1588 0.02616358
1589 0.0261632
1590 0.02616304
1591 0.02616269
1592 0.02616254
1593 0.02616219
1594 0.02616201
1595 0.02616171
1596 0.0261615
1597 0.02616111
1598 0.02616101
1599 0.02616063
1600 0.02616048
1601 0.02616008
1602 0.02615996
1603 0.02615956
1604 0.02615946
1605 0.02615913
1606 0.02615899
1607 0.02615864
1608 0.02615857
1609 0.02615816
1610 0.02615805
1611 0.02615774
1612 0.02615761
1613 0.02615731
1614 0.0261572
1615 0.02615686
1616 0.02615675
1617 0.02615635
1618 0.02615631
1619 0.02615597
1620 0.0261559
1621 0.02615556
1622 0.02615543
1623 0.02615512
1624 0.026155
1625 0.02615466
1626 0.02615456
1627 0.02615428
1628 0.02615416
1629 0.02615386
1630 0.02615378
1631 0.02615348
1632 0.02615337
1633 0.02615304
1634 0.02615295
1635 0.02615265
1636 0.02615257
1637 0.02615226
1638 0.02615217
1639 0.02615187
1640 0.02615174
1641 0.02615148
1642 0.02615137
1643 0.02615105
1644 0.02615094
1645 0.02615069
1646 0.02615057
1647 0.02615032
1648 0.02615023
1649 0.02614997
1650 0.02614982
1651 0.02614949
1652 0.0261495
1653 0.02614913
1654 0.02614905
1655 0.02614871
