"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
500 1.638655
501 1.638831
502 1.639006
503 1.639182
504 1.639358
505 1.639534
506 1.639712
507 1.63989
508 1.640067
509 1.640246
510 1.640426
511 1.640605
512 1.640787
513 1.640967
514 1.641149
515 1.641331
516 1.641512
517 1.641695
518 1.641877
519 1.642059
520 1.642242
521 1.642425
522 1.642608
523 1.642791
524 1.642973
525 1.643157
526 1.64334
527 1.643523
528 1.643706
529 1.643889
530 1.644074
531 1.644257
532 1.644441
533 1.644626
534 1.64481
535 1.644995
536 1.645179
537 1.645365
538 1.64555
539 1.645736
540 1.645921
541 1.646107
542 1.646294
543 1.64648
544 1.646668
545 1.646855
546 1.647043
547 1.647231
548 1.647419
549 1.647607
550 1.647796
551 1.647985
552 1.648174
553 1.648363
554 1.648552
555 1.648743
556 1.648933
557 1.649123
558 1.649314
559 1.649504
560 1.649696
561 1.649887
562 1.650078
563 1.65027
564 1.650462
565 1.650653
566 1.650845
567 1.651037
568 1.65123
569 1.651423
570 1.651616
571 1.651809
572 1.652001
573 1.652194
574 1.652388
575 1.652582
576 1.652774
577 1.652968
578 1.653162
579 1.653356
580 1.65355
581 1.653745
582 1.653939
583 1.654133
584 1.654329
585 1.654524
586 1.65472
587 1.654915
588 1.655111
589 1.655307
590 1.655502
591 1.655699
592 1.655895
593 1.656093
594 1.65629
595 1.656487
596 1.656685
597 1.656882
598 1.657082
599 1.657282
600 1.657479
601 1.657678
602 1.657876
603 1.658075
604 1.658274
605 1.658474
606 1.658674
607 1.658874
608 1.659075
609 1.659275
610 1.659475
611 1.659676
612 1.659877
613 1.660078
614 1.660278
615 1.660479
616 1.66068
617 1.660882
618 1.661082
619 1.661283
620 1.661482
621 1.661684
622 1.661883
623 1.662084
624 1.662285
625 1.662487
626 1.662688
627 1.66289
628 1.663091
629 1.663293
630 1.663494
631 1.663694
632 1.663897
633 1.664097
634 1.664298
635 1.664498
636 1.6647
637 1.664901
638 1.665102
639 1.665303
640 1.665504
641 1.665705
642 1.665906
643 1.666109
644 1.666311
645 1.666512
646 1.666713
647 1.666915
648 1.667115
649 1.667317
650 1.667518
651 1.66772
652 1.667921
653 1.668122
654 1.668323
655 1.668526
656 1.668725
657 1.668926
658 1.669127
659 1.669328
660 1.669529
661 1.66973
662 1.669929
663 1.67013
664 1.67033
665 1.670532
666 1.670732
667 1.670932
668 1.671134
669 1.671332
670 1.671533
671 1.671734
672 1.671934
673 1.672135
674 1.672334
675 1.672535
676 1.672734
677 1.672933
678 1.673133
679 1.673332
680 1.673533
681 1.673732
682 1.673931
683 1.67413
684 1.674329
685 1.674527
686 1.674726
687 1.674925
688 1.675123
689 1.675322
690 1.67552
691 1.675718
692 1.675916
693 1.676112
694 1.676309
695 1.676506
696 1.676702
697 1.676899
698 1.677095
699 1.677291
700 1.677486
701 1.677682
702 1.677877
703 1.678072
704 1.678266
705 1.678461
706 1.678654
707 1.678848
708 1.679041
709 1.679233
710 1.679426
711 1.67962
712 1.679811
713 1.680004
714 1.680194
715 1.680385
716 1.680576
717 1.680766
718 1.680957
719 1.681146
720 1.681335
721 1.681526
722 1.681714
723 1.681902
724 1.68209
725 1.682278
726 1.682469
727 1.682656
728 1.682843
729 1.683028
730 1.683214
731 1.6834
732 1.683585
733 1.683769
734 1.683955
735 1.684139
736 1.684323
737 1.684506
738 1.684689
739 1.684868
740 1.685049
741 1.685233
742 1.685414
743 1.685597
744 1.685777
745 1.685958
746 1.68614
747 1.68632
748 1.686501
749 1.68668
750 1.686863
751 1.687042
752 1.687219
753 1.687396
754 1.687571
755 1.687747
756 1.687922
757 1.688097
758 1.688271
759 1.688444
760 1.688618
761 1.688792
762 1.688965
763 1.689137
764 1.689309
765 1.689481
766 1.689652
767 1.689822
768 1.689992
769 1.690163
770 1.690332
771 1.690501
772 1.69067
773 1.690837
774 1.691005
775 1.691172
776 1.691339
777 1.691504
778 1.69167
779 1.691834
780 1.692
781 1.692164
782 1.692328
783 1.692491
784 1.692654
785 1.692817
786 1.692978
787 1.693142
788 1.693302
789 1.693463
