"report-mom-rfile"
"Iteration" "report-mom"
("Iteration" "report-mom")
500 0.4782878
501 0.4783233
502 0.4783586
503 0.4783943
504 0.4784305
505 0.4784669
506 0.4785037
507 0.4785409
508 0.4785785
509 0.4786164
510 0.4786543
511 0.4786933
512 0.4787316
513 0.4787712
514 0.4788103
515 0.4788499
516 0.4788893
517 0.4789289
518 0.4789687
519 0.4790085
520 0.4790484
521 0.4790883
522 0.4791282
523 0.4791683
524 0.4792082
525 0.4792483
526 0.4792881
527 0.4793282
528 0.4793681
529 0.4794082
530 0.4794485
531 0.4794889
532 0.4795297
533 0.4795704
534 0.4796111
535 0.4796524
536 0.4796937
537 0.4797352
538 0.479777
539 0.479819
540 0.4798612
541 0.4799035
542 0.479946
543 0.4799887
544 0.4800317
545 0.4800751
546 0.4801183
547 0.4801618
548 0.4802056
549 0.4802493
550 0.4802935
551 0.4803375
552 0.4803821
553 0.4804268
554 0.4804718
555 0.4805167
556 0.480562
557 0.4806077
558 0.4806533
559 0.4806986
560 0.480745
561 0.480791
562 0.4808372
563 0.4808835
564 0.4809298
565 0.4809766
566 0.4810233
567 0.48107
568 0.4811169
569 0.4811641
570 0.4812112
571 0.4812586
572 0.4813059
573 0.4813534
574 0.4814014
575 0.4814492
576 0.481497
577 0.4815452
578 0.4815931
579 0.4816417
580 0.4816899
581 0.4817392
582 0.4817881
583 0.4818373
584 0.4818865
585 0.4819362
586 0.481986
587 0.4820357
588 0.4820859
589 0.4821358
590 0.4821864
591 0.4822371
592 0.4822881
593 0.4823391
594 0.4823901
595 0.4824417
596 0.4824936
597 0.4825455
598 0.4825972
599 0.48265
600 0.4827026
601 0.4827551
602 0.4828081
603 0.4828615
604 0.4829149
605 0.4829683
606 0.4830224
607 0.4830763
608 0.4831305
609 0.4831844
610 0.4832388
611 0.483293
612 0.4833475
613 0.4834017
614 0.4834562
615 0.4835108
616 0.4835655
617 0.4836201
618 0.4836746
619 0.4837293
620 0.4837841
621 0.483839
622 0.4838948
623 0.48395
624 0.4840052
625 0.4840607
626 0.4841157
627 0.4841715
628 0.4842272
629 0.4842826
630 0.4843384
631 0.4843944
632 0.4844503
633 0.4845063
634 0.4845619
635 0.4846184
636 0.4846748
637 0.484731
638 0.4847876
639 0.4848441
640 0.484901
641 0.4849579
642 0.4850147
643 0.4850718
644 0.4851288
645 0.4851861
646 0.4852434
647 0.4853009
648 0.4853583
649 0.485416
650 0.4854733
651 0.485531
652 0.4855887
653 0.485647
654 0.4857046
655 0.4857624
656 0.4858203
657 0.4858784
658 0.4859362
659 0.4859943
660 0.4860525
661 0.4861106
662 0.4861688
663 0.4862271
664 0.4862854
665 0.4863437
666 0.4864024
667 0.486461
668 0.4865196
669 0.4865785
670 0.4866375
671 0.4866961
672 0.4867553
673 0.4868142
674 0.4868737
675 0.4869325
676 0.4869917
677 0.4870507
678 0.4871098
679 0.4871693
680 0.4872285
681 0.4872878
682 0.4873469
683 0.4874066
684 0.487466
685 0.4875251
686 0.4875847
687 0.4876445
688 0.4877037
689 0.4877633
690 0.4878228
691 0.4878823
692 0.4879412
693 0.4880004
694 0.4880596
695 0.4881186
696 0.4881776
697 0.4882368
698 0.4882957
699 0.4883546
700 0.4884133
701 0.4884723
702 0.488531
703 0.4885898
704 0.4886483
705 0.488707
706 0.4887656
707 0.4888243
708 0.4888825
709 0.4889409
710 0.4889991
711 0.4890573
712 0.4891151
713 0.4891734
714 0.4892314
715 0.4892894
716 0.489347
717 0.4894048
718 0.4894626
719 0.4895202
720 0.4895774
721 0.4896353
722 0.4896926
723 0.4897499
724 0.4898073
725 0.4898646
726 0.4899231
727 0.4899807
728 0.4900374
729 0.4900939
730 0.4901505
731 0.4902073
732 0.4902636
733 0.4903204
734 0.4903768
735 0.4904331
736 0.4904895
737 0.490546
738 0.4906019
739 0.4906553
740 0.4907111
741 0.4907677
742 0.4908236
743 0.4908801
744 0.4909363
745 0.4909924
746 0.4910482
747 0.4911043
748 0.4911602
749 0.4912157
750 0.4912737
751 0.4913288
752 0.4913827
753 0.4914368
754 0.4914905
755 0.4915441
756 0.4915976
757 0.4916512
758 0.4917047
759 0.4917581
760 0.4918113
761 0.4918648
762 0.4919181
763 0.4919713
764 0.4920243
765 0.4920773
766 0.4921303
767 0.4921831
768 0.4922354
769 0.4922878
770 0.4923402
771 0.4923927
772 0.4924447
773 0.4924966
774 0.4925483
775 0.4925999
776 0.4926515
777 0.4927031
778 0.4927541
779 0.4928055
780 0.4928562
781 0.4929073
782 0.4929581
783 0.4930082
784 0.4930588
785 0.4931093
786 0.4931594
787 0.4932102
788 0.4932605
789 0.4933102
790 0.4933593
791 0.4934092
792 0.4934583
793 0.4935114
794 0.4935601
795 0.4936087
796 0.4936567
797 0.4937051
798 0.4937531
799 0.4938014
800 0.4938495
801 0.4938975
802 0.4939454
803 0.4939933
804 0.4940409
805 0.4940886
806 0.4941356
807 0.4941835
808 0.4942305
809 0.4942778
810 0.4943246
811 0.4943717
812 0.4944182
813 0.4944647
814 0.4945115
815 0.494558
816 0.4946045
817 0.4946511
818 0.4946975
819 0.4947442
820 0.4947904
821 0.4948344
822 0.4948803
823 0.494927
824 0.4949734
825 0.4950196
826 0.4950653
827 0.4951113
828 0.4951567
829 0.4952023
830 0.4952476
831 0.4952925
832 0.4953375
833 0.4953822
834 0.4954269
835 0.4954714
836 0.4955161
837 0.4955606
838 0.4956045
839 0.4956485
840 0.4956928
841 0.4957364
842 0.49578
843 0.495824
844 0.4958674
845 0.4959113
846 0.4959543
847 0.495998
848 0.4960412
849 0.4960842
850 0.4961275
851 0.4961708
852 0.4962136
853 0.4962567
854 0.4962997
855 0.4963439
856 0.4963864
857 0.4964243
858 0.4964728
859 0.4965147
860 0.496551
861 0.4965986
862 0.4966398
863 0.496677
864 0.4967236
865 0.4967603
866 0.4968073
867 0.496843
868 0.4968894
869 0.4969259
873 0.4970908
874 0.4971352
875 0.4971726
876 0.4972182
877 0.4972601
878 0.4972956
879 0.4973399
880 0.4973761
881 0.497421
882 0.4974612
883 0.4974964
884 0.4975404
885 0.4975757
886 0.4976199
