"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
4035 1.843276
4036 1.843281
4037 1.843286
4038 1.843293
4039 1.843299
4040 1.843305
4041 1.843311
4042 1.843317
4043 1.843322
4044 1.843328
4045 1.843333
4046 1.843339
4047 1.843346
4048 1.843351
4049 1.843357
4050 1.843363
4051 1.843369
4052 1.843374
4053 1.843381
4054 1.843387
4055 1.843392
4056 1.843398
4057 1.843404
4058 1.843409
4059 1.843414
4060 1.843421
4061 1.843426
4062 1.843431
4063 1.843437
4064 1.843443
4065 1.843449
4066 1.843455
4067 1.84346
4068 1.843465
4069 1.843471
4070 1.843477
4071 1.843482
4072 1.843488
4073 1.843493
4074 1.843499
4075 1.843506
4076 1.843511
4077 1.843516
4078 1.843522
4079 1.843527
4080 1.843534
4081 1.843539
4082 1.843545
4083 1.84355
4084 1.843555
4085 1.843561
4086 1.843567
4087 1.843572
4088 1.843578
4089 1.843584
4090 1.843589
4091 1.843594
4092 1.8436
4093 1.843605
4094 1.843611
4095 1.843616
4096 1.843622
4097 1.843627
4098 1.843633
4099 1.843638
4100 1.843644
4101 1.84365
4102 1.843654
4103 1.84366
4104 1.843665
4105 1.843671
4106 1.843676
4107 1.843682
4108 1.843687
4109 1.843693
4110 1.843698
4111 1.843703
4112 1.843708
4113 1.843714
4114 1.843719
4115 1.843725
4116 1.84373
4117 1.843736
4118 1.843741
4119 1.843747
4120 1.843751
4121 1.843756
4122 1.843762
4123 1.843767
4124 1.843772
4125 1.843778
4126 1.843783
4127 1.843788
4128 1.843793
4129 1.843798
4130 1.843803
4131 1.843808
4132 1.843814
4133 1.843819
4134 1.843824
4135 1.84383
4136 1.843834
4137 1.84384
4138 1.843844
4139 1.84385
4140 1.843856
4141 1.843861
4142 1.843865
4143 1.84387
4144 1.843875
4145 1.84388
4146 1.843885
4147 1.843891
4148 1.843896
4149 1.843901
4150 1.843906
4151 1.843911
4152 1.843917
4153 1.843922
4154 1.843927
4155 1.843931
4156 1.843936
4157 1.843942
4158 1.843946
4159 1.843951
4160 1.843956
4161 1.843962
4162 1.843967
4163 1.843973
4164 1.843977
4165 1.843982
4166 1.843986
4167 1.843991
4168 1.843997
4169 1.844002
4170 1.844006
4171 1.844011
4172 1.844016
4173 1.844022
4174 1.844026
4175 1.844031
4176 1.844036
4177 1.844041
4178 1.844046
4179 1.844051
4180 1.844056
4181 1.844061
4182 1.844066
4183 1.844072
4184 1.844075
4185 1.84408
4186 1.844085
4187 1.84409
4188 1.844095
4189 1.8441
4190 1.844104
4191 1.844109
4192 1.844115
4193 1.84412
4194 1.844124
4195 1.84413
4196 1.844133
4197 1.844139
4198 1.844143
4199 1.844148
4200 1.844153
4201 1.844157
4202 1.844162
4203 1.844166
4204 1.844171
4205 1.844176
4206 1.844181
4207 1.844185
4208 1.84419
4209 1.844195
4210 1.8442
4211 1.844204
4212 1.84421
4213 1.844214
4214 1.844219
4215 1.844223
4216 1.844228
4217 1.844232
4218 1.844237
4219 1.844241
4220 1.844246
4221 1.844251
4222 1.844255
4223 1.84426
4224 1.844264
4225 1.844269
4226 1.844274
4227 1.844279
4228 1.844283
4229 1.844288
4230 1.844291
4231 1.844296
4232 1.844301
4233 1.844306
4234 1.84431
4235 1.844315
4236 1.844319
4237 1.844324
4238 1.844329
4239 1.844333
4240 1.844338
4241 1.844342
4242 1.844347
4243 1.844351
4244 1.844356
4245 1.84436
4246 1.844365
4247 1.844369
4248 1.844373
4249 1.844378
4250 1.844383
4251 1.844387
4252 1.844392
4253 1.844396
4254 1.8444
4255 1.844405
4256 1.844409
4257 1.844414
4258 1.844418
4259 1.844423
4260 1.844427
4261 1.844431
4262 1.844435
4263 1.84444
4264 1.844445
4265 1.844448
4266 1.844453
4267 1.844457
4268 1.844461
4269 1.844466
4270 1.844471
4271 1.844475
4272 1.844479
4273 1.844484
4274 1.844488
4275 1.844492
4276 1.844497
4277 1.8445
4278 1.844504
4279 1.844509
4280 1.844513
4281 1.844518
4282 1.844522
4283 1.844527
4284 1.844531
4285 1.844535
4286 1.844539
4287 1.844544
4288 1.844547
4289 1.844552
4290 1.844555
4291 1.84456
4292 1.844565
4293 1.844569
4294 1.844573
4295 1.844578
4296 1.844582
4297 1.844586
4298 1.84459
4299 1.844595
4300 1.844599
4301 1.844602
4302 1.844607
4303 1.844611
4304 1.844615
4305 1.844619
4306 1.844624
4307 1.844628
4308 1.844631
4309 1.844635
4310 1.844639
4311 1.844643
4312 1.844648
4313 1.844653
4314 1.844656
4315 1.84466
4316 1.844664
4317 1.844668
4318 1.844672
4319 1.844676
4320 1.84468
4321 1.844684
4322 1.844689
4323 1.844692
4324 1.844698
4325 1.8447
4326 1.844705
4327 1.844709
4328 1.844712
4329 1.844717
4330 1.844721
4331 1.844725
4332 1.844729
4333 1.844733
4334 1.844737
4335 1.844741
4336 1.844744
4337 1.844749
4338 1.844752
4339 1.844757
4340 1.844761
4341 1.844765
4342 1.844768
4343 1.844772
4344 1.844776
4345 1.84478
4346 1.844784
4347 1.844788
4348 1.844792
4349 1.844796
4350 1.8448
4351 1.844804
4352 1.844807
4353 1.844811
4354 1.844815
4355 1.844819
4356 1.844823
4357 1.844827
4358 1.844831
4359 1.844835
4360 1.844838
4361 1.844841
4362 1.844845
4363 1.844849
4364 1.844853
4365 1.844857
4366 1.84486
4367 1.844864
4368 1.844869
4369 1.844872
4370 1.844876
4371 1.84488
4372 1.844884
4373 1.844888
4374 1.844892
4375 1.844895
4376 1.844898
4377 1.844903
4378 1.844906
4379 1.844909
4380 1.844914
4381 1.844917
4382 1.844921
4383 1.844924
4384 1.844928
4385 1.844933
4386 1.844936
4387 1.84494
4388 1.844944
4389 1.844947
4390 1.84495
4391 1.844955
4392 1.844958
4393 1.844962
4394 1.844967
4395 1.844969
4396 1.844973
4397 1.844977
4398 1.84498
4399 1.844984
4400 1.844988
4401 1.844992
4402 1.844995
4403 1.844999
4404 1.845002
4405 1.845005
4406 1.84501
4407 1.845013
4408 1.845017
4409 1.84502
4410 1.845024
4411 1.845027
4412 1.845031
4413 1.845035
4414 1.845038
4415 1.845042
4416 1.845046
4417 1.845049
4418 1.845053
4419 1.845056
4420 1.845059
4421 1.845063
4422 1.845066
4423 1.84507
4424 1.845073
4425 1.845077
4426 1.845081
4427 1.845084
4428 1.845088
4429 1.845091
4430 1.845094
4431 1.845097
4432 1.845101
4433 1.845105
4434 1.845108
4435 1.845111
4436 1.845115
4437 1.845119
4438 1.845122
4439 1.845125
4440 1.84513
4441 1.845133
4442 1.845136
4443 1.84514
4444 1.845142
4445 1.845146
4446 1.84515
4447 1.845153
4448 1.845157
4449 1.84516
4450 1.845163
4451 1.845167
4452 1.84517
4453 1.845174
4454 1.845177
4455 1.84518
4456 1.845183
4457 1.845187
4458 1.84519
4459 1.845194
4460 1.845197
4461 1.8452
4462 1.845204
4463 1.845207
4464 1.845211
4465 1.845214
4466 1.845218
4467 1.845221
4468 1.845225
4469 1.845229
4470 1.845231
4471 1.845235
4472 1.845238
4473 1.845241
4474 1.845245
4475 1.845249
4476 1.845251
4477 1.845255
4478 1.845258
4479 1.84526
4480 1.845263
4481 1.845267
4482 1.84527
4483 1.845274
4484 1.845277
4485 1.845279
4486 1.845283
4487 1.845286
4488 1.84529
4489 1.845293
4490 1.845297
4491 1.8453
4492 1.845303
4493 1.845307
4494 1.845309
4495 1.845313
4496 1.845316
4497 1.845319
4498 1.845323
4499 1.845326
4500 1.845328
4501 1.845331
4502 1.845335
4503 1.845339
4504 1.845341
4505 1.845345
4506 1.845348
4507 1.845352
4508 1.845355
4509 1.845358
4510 1.845361
4511 1.845364
4512 1.845367
4513 1.845369
4514 1.845373
4515 1.845376
4516 1.84538
4517 1.845382
4518 1.845386
4519 1.845389
4520 1.845392
4521 1.845396
4522 1.845399
4523 1.845401
4524 1.845405
4525 1.845407
4526 1.845411
4527 1.845414
4528 1.845417
4529 1.845419
4530 1.845422
4531 1.845426
4532 1.845428
4533 1.845432
