"report-lift-rfile"
"Iteration" "report-lift"
("Iteration" "report-lift")
500 1.06408
501 1.064152
502 1.064224
503 1.064296
504 1.064368
505 1.06444
506 1.064511
507 1.064582
508 1.064652
509 1.064722
510 1.064792
511 1.064861
512 1.06493
513 1.064998
514 1.065066
515 1.065133
516 1.065197
517 1.065265
518 1.065331
519 1.0654
520 1.065465
521 1.065533
522 1.065598
523 1.065665
524 1.065727
525 1.065794
526 1.065856
527 1.065921
528 1.065983
529 1.066047
530 1.066107
531 1.066171
532 1.066231
533 1.066294
534 1.066353
535 1.066416
536 1.066474
537 1.066535
538 1.066594
539 1.066654
540 1.066712
541 1.066771
542 1.066828
543 1.066887
544 1.066943
545 1.067002
546 1.067057
547 1.067115
548 1.067169
549 1.067226
550 1.067281
551 1.067337
552 1.06739
553 1.067445
554 1.067498
555 1.067553
556 1.067605
557 1.067658
558 1.067709
559 1.067763
560 1.067813
561 1.067866
562 1.067915
563 1.067967
564 1.068016
565 1.068067
566 1.068115
567 1.068166
568 1.068213
569 1.068263
570 1.068309
571 1.068359
572 1.068405
573 1.068453
574 1.068497
575 1.068545
576 1.06859
577 1.068637
578 1.068681
579 1.068727
580 1.06877
581 1.068817
582 1.068859
583 1.068904
584 1.068946
585 1.06899
586 1.069031
587 1.069075
588 1.069116
589 1.069158
590 1.069198
591 1.069241
592 1.06928
593 1.069322
594 1.06936
595 1.069401
596 1.06944
597 1.06948
598 1.069517
599 1.069557
600 1.069595
601 1.069633
602 1.069669
603 1.069707
604 1.069744
605 1.069782
606 1.069817
607 1.069854
608 1.069888
609 1.069926
610 1.069959
611 1.069995
612 1.070025
613 1.070062
614 1.070099
615 1.070128
616 1.070163
617 1.0702
618 1.070229
619 1.070263
620 1.070298
621 1.070325
622 1.070359
623 1.070389
624 1.070426
625 1.070453
626 1.070486
627 1.070513
628 1.070547
629 1.070573
630 1.070606
631 1.070632
632 1.070666
633 1.070691
634 1.070722
635 1.070747
636 1.07078
637 1.070804
638 1.070835
639 1.070858
640 1.07089
641 1.070913
642 1.070943
643 1.070965
644 1.070997
645 1.071018
646 1.071048
647 1.071068
648 1.071099
649 1.071119
650 1.071149
651 1.071168
652 1.071197
653 1.071217
654 1.071245
655 1.071264
656 1.071293
657 1.071311
658 1.071339
659 1.071357
660 1.071385
661 1.071402
662 1.071429
663 1.071447
664 1.071473
665 1.07149
666 1.071516
667 1.071533
668 1.071553
669 1.071579
670 1.071596
671 1.071615
672 1.071636
673 1.071662
674 1.071678
675 1.071697
676 1.071721
677 1.071736
678 1.071754
679 1.071778
680 1.071793
681 1.071811
682 1.071834
683 1.071848
684 1.071865
685 1.071883
686 1.071901
687 1.07192
688 1.071938
689 1.071955
690 1.071972
691 1.071989
692 1.072006
693 1.072022
694 1.072039
695 1.072055
696 1.072071
697 1.072087
698 1.072102
699 1.072118
700 1.072133
701 1.072148
702 1.072163
703 1.072178
704 1.072193
705 1.072208
706 1.072222
707 1.072236
708 1.07225
709 1.072264
710 1.072278
711 1.072292
712 1.072305
713 1.072319
714 1.072333
715 1.072345
716 1.072358
717 1.072372
718 1.072384
719 1.072397
720 1.07241
721 1.072422
722 1.072434
723 1.072446
724 1.072458
725 1.07247
726 1.072481
727 1.072493
728 1.072505
729 1.072515
730 1.072526
731 1.072538
732 1.072549
733 1.07256
734 1.072571
735 1.072581
736 1.072592
737 1.072602
738 1.072612
739 1.072623
740 1.072632
741 1.072643
742 1.072653
743 1.072663
744 1.072672
745 1.072681
746 1.072692
747 1.0727
748 1.07271
749 1.072719
750 1.072728
751 1.072738
752 1.072746
753 1.072755
754 1.072764
755 1.072772
756 1.072781
757 1.07279
758 1.072798
759 1.072805
760 1.072814
761 1.072822
762 1.07283
763 1.072838
764 1.072846
765 1.072853
766 1.072861
767 1.072869
768 1.072876
769 1.072884
770 1.072891
771 1.072899
772 1.072906
773 1.072913
774 1.072919
775 1.072926
776 1.072933
777 1.07294
778 1.072947
779 1.072953
780 1.07296
781 1.072967
782 1.072973
783 1.07298
784 1.072986
785 1.072992
786 1.072999
787 1.073004
788 1.073011
789 1.073017
790 1.073023
791 1.073028
792 1.073034
793 1.073039
794 1.073045
795 1.07305
796 1.073057
797 1.073062
798 1.073067
799 1.073072
800 1.073078
801 1.073083
802 1.073088
803 1.073094
804 1.073099
805 1.073104
806 1.073108
807 1.073113
808 1.073118
809 1.073123
810 1.073128
811 1.073132
812 1.073137
813 1.073142
814 1.073147
815 1.073151
816 1.073156
817 1.07316
818 1.073164
819 1.073168
820 1.073173
821 1.073177
822 1.073181
823 1.073186
824 1.07319
825 1.073194
826 1.073198
827 1.073203
828 1.073206
829 1.07321
830 1.073214
831 1.073218
832 1.073221
833 1.073225
834 1.073228
835 1.073232
836 1.073236
837 1.073239
838 1.073243
839 1.073247
840 1.07325
841 1.073253
842 1.073257
843 1.07326
844 1.073264
845 1.073267
846 1.07327
847 1.073273
848 1.073276
849 1.07328
850 1.073283
851 1.073286
852 1.07329
853 1.073292
854 1.073295
855 1.073298
856 1.073301
857 1.073304
858 1.073307
859 1.07331
860 1.073313
861 1.073316
862 1.073318
863 1.073321
864 1.073324
865 1.073326
866 1.073329
867 1.073332
868 1.073334
869 1.073337
870 1.07334
871 1.073342
872 1.073345
873 1.073347
874 1.07335
875 1.073352
876 1.073355
877 1.073357
878 1.07336
879 1.073362
880 1.073364
881 1.073366
882 1.073369
883 1.073371
884 1.073373
885 1.073375
886 1.073377
887 1.07338
888 1.073382
889 1.073384
890 1.073385
891 1.073388
892 1.07339
893 1.073392
894 1.073395
895 1.073396
896 1.073398
897 1.0734
898 1.073402
899 1.073404
900 1.073406
901 1.073408
902 1.073409
903 1.073411
904 1.073413
905 1.073415
906 1.073417
907 1.073418
908 1.07342
909 1.073422
910 1.073423
911 1.073426
912 1.073427
913 1.073429
914 1.073431
915 1.073433
916 1.073434
917 1.073435
918 1.073437
919 1.073439
920 1.07344
921 1.073442
922 1.073443
923 1.073444
924 1.073447
925 1.073447
926 1.073449
927 1.07345
928 1.073452
929 1.073453
930 1.073455
931 1.073457
932 1.073458
933 1.073459
934 1.073461
935 1.073462
936 1.073463
937 1.073465
938 1.073466
939 1.073468
940 1.073469
941 1.07347
942 1.073471
943 1.073472
944 1.073474
945 1.073475
946 1.073477
947 1.073478
948 1.073479
949 1.07348
950 1.073481
951 1.073482
952 1.073483
953 1.073485
954 1.073486
955 1.073486
956 1.073488
957 1.073489
958 1.07349
959 1.073491
960 1.073493
961 1.073494
962 1.073495
963 1.073496
964 1.073497
965 1.073498
966 1.073499
967 1.0735
968 1.073502
969 1.073502
970 1.073503
971 1.073504
972 1.073505
973 1.073506
974 1.073507
975 1.073508
976 1.073509
977 1.073509
978 1.073511
979 1.073512
980 1.073513
981 1.073514
982 1.073514
983 1.073515
984 1.073516
985 1.073517
986 1.073518
987 1.073519
988 1.07352
989 1.073521
990 1.073521
991 1.073522
992 1.073524
993 1.073524
994 1.073525
995 1.073526
996 1.073527
997 1.073527
998 1.073528
999 1.073529
1000 1.073529
1001 1.07353
1002 1.073531
1003 1.073532
1004 1.073532
1005 1.073533
1006 1.073534
1007 1.073535
1008 1.073535
1009 1.073536
1010 1.073537
1011 1.073537
1012 1.073538
1013 1.073539
1014 1.073539
1015 1.07354
1016 1.073541
1017 1.073541
1018 1.073542
1019 1.073542
1020 1.073543
1021 1.073544
1022 1.073544
1023 1.073545
1024 1.073546
1025 1.073546
1026 1.073546
1027 1.073547
1028 1.073548
1029 1.073549
