"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
500 0.01213831
501 0.01213689
502 0.01213547
503 0.0121341
504 0.01213274
505 0.01213133
506 0.01212996
507 0.01212862
508 0.01212726
509 0.01212586
510 0.01212451
511 0.01212309
512 0.01212183
513 0.01212037
514 0.01211913
515 0.01211765
516 0.01211669
517 0.01211516
518 0.01211429
519 0.01211278
520 0.01211183
521 0.01211024
522 0.01210923
523 0.01210758
524 0.01210656
525 0.01210491
526 0.01210391
527 0.01210222
528 0.01210121
529 0.01209953
530 0.01209851
531 0.01209688
532 0.01209588
533 0.01209425
534 0.01209322
535 0.01209161
536 0.0120906
537 0.012089
538 0.01208802
539 0.01208644
540 0.0120854
541 0.01208383
542 0.01208282
543 0.01208127
544 0.01208023
545 0.01207872
546 0.01207771
547 0.0120762
548 0.01207521
549 0.01207367
550 0.01207269
551 0.01207116
552 0.01207016
553 0.0120686
554 0.01206762
555 0.01206611
556 0.01206514
557 0.0120636
558 0.01206263
559 0.01206108
560 0.0120601
561 0.01205859
562 0.0120576
563 0.01205608
564 0.01205511
565 0.01205363
566 0.01205263
567 0.01205115
568 0.01205017
569 0.01204869
570 0.01204768
571 0.01204625
572 0.01204527
573 0.0120438
574 0.01204285
575 0.01204141
576 0.0120405
577 0.01203907
578 0.01203815
579 0.01203677
580 0.01203584
581 0.01203446
582 0.01203354
583 0.01203217
584 0.01203127
585 0.01202996
586 0.01202908
587 0.01202772
588 0.01202682
589 0.0120255
590 0.01202461
591 0.01202334
592 0.01202247
593 0.01202119
594 0.01202031
595 0.01201906
596 0.01201819
597 0.01201697
598 0.01201611
599 0.01201485
600 0.01201401
601 0.01201274
602 0.0120119
603 0.01201067
604 0.01200985
605 0.01200864
606 0.0120078
607 0.01200659
608 0.0120058
609 0.0120046
610 0.01200376
611 0.0120026
612 0.01200191
613 0.01200111
614 0.01199991
615 0.01199916
616 0.01199837
617 0.01199713
618 0.01199639
619 0.0119956
620 0.01199439
621 0.01199361
622 0.01199283
623 0.0119921
624 0.01199083
625 0.01199004
626 0.01198907
627 0.01198834
628 0.01198708
629 0.01198635
630 0.01198549
631 0.01198479
632 0.01198358
633 0.01198285
634 0.01198198
635 0.01198127
636 0.01198012
637 0.01197938
638 0.01197849
639 0.01197777
640 0.0119766
641 0.01197588
642 0.01197503
643 0.01197427
644 0.01197319
645 0.01197247
646 0.01197161
647 0.0119709
648 0.01196991
649 0.01196921
650 0.01196838
651 0.01196771
652 0.01196678
653 0.01196611
654 0.01196523
655 0.01196461
656 0.01196378
657 0.01196316
658 0.01196235
659 0.01196168
660 0.01196086
661 0.01196023
662 0.01195944
663 0.01195883
664 0.01195805
665 0.01195744
666 0.0119567
667 0.01195612
668 0.01195558
669 0.01195484
670 0.01195422
671 0.01195367
672 0.0119531
673 0.0119523
674 0.01195168
675 0.01195112
676 0.01195031
677 0.01194968
678 0.01194917
679 0.01194839
680 0.01194778
681 0.0119473
682 0.01194655
683 0.01194599
684 0.01194547
685 0.01194496
686 0.01194442
687 0.01194387
688 0.01194332
689 0.01194275
690 0.01194216
691 0.01194158
692 0.01194103
693 0.01194044
694 0.01193988
695 0.01193933
696 0.01193879
697 0.01193823
698 0.01193765
699 0.01193713
700 0.01193654
701 0.01193603
702 0.0119355
703 0.01193496
704 0.01193442
705 0.01193393
706 0.01193341
707 0.01193291
708 0.0119324
709 0.01193191
710 0.01193142
711 0.01193092
712 0.01193045
713 0.01192994
714 0.01192949
715 0.01192899
716 0.01192851
717 0.01192806
718 0.01192755
719 0.01192707
720 0.0119266
721 0.01192615
722 0.01192567
723 0.01192523
724 0.01192482
725 0.01192437
726 0.01192394
727 0.01192348
728 0.01192309
729 0.01192264
730 0.01192226
731 0.01192185
732 0.01192143
733 0.01192104
734 0.01192064
735 0.01192025
736 0.01191987
737 0.01191947
