"report-drag-rfile"
"Iteration" "report-drag"
("Iteration" "report-drag")
497 0.01818112
498 0.01817764
499 0.01817413
500 0.01817066
501 0.01816715
502 0.01816374
503 0.01816024
504 0.01815679
505 0.01815336
506 0.01814996
507 0.01814656
508 0.01814315
509 0.01813969
510 0.01813631
511 0.01813282
512 0.01812949
513 0.01812599
514 0.01812264
515 0.01811916
516 0.01811586
517 0.01811254
518 0.01810919
519 0.01810582
520 0.01810248
521 0.0180991
522 0.01809579
523 0.01809249
524 0.01808917
525 0.01808584
526 0.01808262
527 0.01807938
528 0.01807613
529 0.01807285
530 0.01806972
531 0.01806642
532 0.0180633
533 0.01806008
534 0.01805689
535 0.01805368
536 0.01805053
537 0.01804732
538 0.0180442
539 0.01804106
540 0.01803789
541 0.01803476
542 0.01803174
543 0.01802843
544 0.01802496
545 0.01802135
546 0.01801787
547 0.01801455
548 0.01801127
549 0.0180079
550 0.01800461
551 0.01800143
552 0.01799829
553 0.01799525
554 0.01799231
555 0.01798936
556 0.01798643
557 0.01798351
558 0.01798066
559 0.01797802
560 0.01797508
561 0.01797184
562 0.017969
563 0.01796585
564 0.01796299
565 0.0179598
566 0.01795686
567 0.01795356
568 0.01795048
569 0.01794709
570 0.01794379
571 0.01794043
572 0.01793747
573 0.01793414
574 0.01793128
575 0.0179281
576 0.01792526
577 0.01792218
578 0.01791932
579 0.0179163
580 0.01791358
581 0.01791048
582 0.01790768
583 0.01790475
584 0.01790204
585 0.01789916
586 0.01789643
587 0.01789358
588 0.01789083
589 0.01788796
590 0.01788508
591 0.01788238
592 0.01787941
593 0.01787654
594 0.01787385
595 0.01787101
596 0.01786834
597 0.01786556
598 0.01786278
599 0.01786005
600 0.01785731
601 0.01785464
602 0.01785194
603 0.01784925
604 0.01784653
605 0.01784392
606 0.01784129
607 0.01783864
608 0.01783605
609 0.01783342
610 0.01783085
611 0.01782833
612 0.01782573
613 0.01782319
614 0.01782062
615 0.01781818
616 0.0178156
617 0.01781317
618 0.01781059
619 0.01780823
620 0.0178059
621 0.01780345
622 0.01780104
623 0.01779866
624 0.01779616
625 0.01779378
626 0.01779113
627 0.01778871
628 0.01778614
629 0.01778377
630 0.01778125
631 0.0177789
632 0.01777643
633 0.01777402
634 0.01777164
635 0.01776928
636 0.0177673
637 0.01776488
638 0.01776257
639 0.01776027
640 0.01775788
641 0.01775551
642 0.01775336
643 0.01775114
644 0.01774892
645 0.01774665
646 0.01774449
647 0.01774219
648 0.0177399
649 0.01773757
650 0.01773533
651 0.01773298
652 0.01773072
653 0.01772845
654 0.01772623
655 0.01772401
656 0.01772178
657 0.01771951
658 0.01771737
659 0.01771513
660 0.01771297
661 0.01771075
662 0.0177086
663 0.01770639
664 0.01770426
665 0.0177021
666 0.01769992
667 0.01769776
668 0.01769564
669 0.01769345
670 0.01769142
671 0.01768923
672 0.01768713
673 0.01768502
674 0.01768289
675 0.01768078
676 0.01767871
677 0.01767658
678 0.01767447
679 0.01767242
680 0.01767039
681 0.0176683
682 0.01766629
683 0.01766424
684 0.01766221
685 0.01766013
686 0.01765813
687 0.0176561
688 0.01765407
689 0.01765206
690 0.01765015
691 0.01764809
692 0.01764617
693 0.01764415
694 0.0176422
695 0.01764024
696 0.01763833
697 0.01763628
698 0.01763444
699 0.01763249
700 0.01763059
701 0.01762866
702 0.01762682
703 0.01762491
704 0.01762308
705 0.01762124
706 0.01761943
707 0.01761758
708 0.01761585
709 0.01761398
710 0.01761224
711 0.01761042
712 0.0176087
713 0.01760687
714 0.01760515
715 0.01760336
716 0.01760161
717 0.01759985
718 0.01759821
719 0.01759638
720 0.01759468
721 0.0175929
722 0.01759126
723 0.01758949
724 0.01758785
725 0.01758611
726 0.01758443
727 0.01758273
728 0.01758112
729 0.01757946
730 0.01757784
731 0.01757614
732 0.01757461
733 0.01757298
734 0.01757136
735 0.01756975
736 0.01756815
737 0.01756655
738 0.017565
739 0.01756341
740 0.01756187
741 0.01756035
742 0.01755882
743 0.01755728
744 0.01755575
745 0.01755422
746 0.01755266
747 0.01755118
748 0.01754964
749 0.0175481
750 0.01754662
751 0.01754509
752 0.01754363
753 0.01754213
754 0.01754073
755 0.01753932
756 0.01753787
757 0.01753647
758 0.01753513
759 0.01753369
760 0.0175323
761 0.01753091
762 0.01752956
763 0.01752822
764 0.01752687
765 0.01752548
766 0.0175242
767 0.01752287
768 0.01752148
769 0.01752019
770 0.01751893
771 0.01751762
772 0.01751632
773 0.01751508
774 0.01751382
775 0.01751255
776 0.01751132
777 0.01751003
778 0.01750923
779 0.01750788
780 0.01750661
781 0.01750573
782 0.01750433
783 0.01750343
784 0.01750211
785 0.01750108
786 0.01749979
787 0.01749884
788 0.01749744
789 0.0174965
790 0.01749515
791 0.0174942
792 0.01749288
793 0.01749197
794 0.01749069
795 0.01748974
796 0.01748851
797 0.01748757
798 0.01748637
799 0.01748545
800 0.01748421
801 0.01748328
802 0.01748209
803 0.01748114
804 0.01748
805 0.01747913
806 0.01747796
807 0.01747705
808 0.01747618
809 0.01747503
810 0.01747414
811 0.0174733
812 0.01747214
813 0.01747125
814 0.01747043
815 0.01746921
816 0.01746841
817 0.01746759
818 0.01746647
819 0.01746561
820 0.01746475
821 0.01746396
822 0.01746294
823 0.01746212
824 0.01746128
825 0.01746041
826 0.01745937
827 0.01745859
828 0.01745783
829 0.01745702
830 0.01745624
831 0.01745546
832 0.01745464
833 0.01745383
834 0.01745301
835 0.01745201
836 0.01745119
837 0.01745048
838 0.01744971
839 0.01744896
840 0.01744825
841 0.01744755
