"report-mom-rfile"
"Iteration" "report-mom"
("Iteration" "report-mom")
497 0.4328546
498 0.4328985
499 0.4329429
500 0.4329867
501 0.4330308
502 0.4330745
503 0.4331184
504 0.4331623
505 0.4332063
506 0.4332497
507 0.4332939
508 0.4333371
509 0.4333808
510 0.4334244
511 0.4334677
512 0.4335108
513 0.4335543
514 0.4335975
515 0.4336409
516 0.4336837
517 0.4337273
518 0.43377
519 0.4338132
520 0.4338557
521 0.4338984
522 0.4339406
523 0.4339836
524 0.4340259
525 0.4340683
526 0.4341108
527 0.4341533
528 0.4341953
529 0.4342376
530 0.4342794
531 0.4343219
532 0.4343634
533 0.4344057
534 0.4344471
535 0.4344891
536 0.4345303
537 0.4345722
538 0.4346132
539 0.4346548
540 0.4346956
541 0.4347371
542 0.4347775
543 0.4348222
544 0.4348648
545 0.4349047
546 0.4349409
547 0.4349836
548 0.4350244
549 0.435064
550 0.4351033
551 0.4351424
552 0.4351818
553 0.4352212
554 0.435261
555 0.4353007
556 0.4353398
557 0.4353792
558 0.4354155
559 0.4354598
560 0.4355006
561 0.4355353
562 0.4355777
563 0.4356131
564 0.4356545
565 0.4356894
566 0.43573
567 0.435765
568 0.435805
569 0.4358421
570 0.4358788
571 0.435912
572 0.4359531
573 0.4359857
574 0.436026
575 0.436059
576 0.4360992
577 0.4361318
578 0.4361716
579 0.4362041
580 0.4362439
581 0.4362761
582 0.4363154
583 0.4363472
584 0.436386
585 0.4364181
586 0.4364561
587 0.4364882
588 0.4365258
589 0.4365606
590 0.4365917
591 0.4366298
592 0.4366637
593 0.4366941
594 0.4367316
595 0.4367614
596 0.436799
597 0.4368287
598 0.4368658
599 0.4368952
600 0.436932
601 0.436961
602 0.4369976
603 0.4370263
604 0.4370624
605 0.4370907
606 0.4371271
607 0.4371548
608 0.4371907
609 0.4372185
610 0.437254
611 0.4372818
612 0.4373168
613 0.4373442
614 0.4373788
615 0.4374065
616 0.4374405
617 0.4374675
618 0.4375017
619 0.4375286
620 0.4375583
621 0.4375925
622 0.4376191
623 0.4376484
624 0.4376819
625 0.4377077
626 0.4377403
627 0.4377657
628 0.4377979
629 0.4378231
630 0.4378546
631 0.4378798
632 0.4379115
633 0.4379365
634 0.4379675
635 0.4379921
636 0.4380236
637 0.4380479
638 0.4380747
639 0.4381059
640 0.4381303
641 0.4381564
642 0.4381834
643 0.4382104
644 0.4382374
645 0.4382638
646 0.4382901
647 0.4383162
648 0.4383421
649 0.4383678
650 0.4383935
651 0.4384189
652 0.4384439
653 0.4384688
654 0.438494
655 0.4385189
656 0.4385433
657 0.4385682
658 0.4385924
659 0.4386165
660 0.4386407
661 0.4386647
662 0.4386887
663 0.4387121
664 0.4387359
